date, balance_flow [cfs]
58962240,-150.399993896,
58962300,-151.399993896,
58962360,-151.399993896,
58962420,-151.399993896,
58962480,-153.399993896,
58962540,-151.399993896,
58962600,-152.399993896,
58962660,-152.399993896,
58962720,-150.399993896,
58962780,-151.399993896,
58962840,-151.399993896,
58962900,-154.399993896,
58962960,-150.399993896,
58963020,-152.399993896,
58963080,127187.707673,
58963140,-127490.507661,
58963200,127473.707673,
58963260,-124425.507661,
58963320,4340.6000061,
58963380,4670.6000061,
58963440,4014.6000061,
58963500,102.600006104,
58963560,-154.399993896,
58963620,-154.399993896,
58963680,-144.100006104,
58963740,-143.100006104,
58963800,-142.100006104,
58963860,-140.100006104,
58963920,-140.100006104,
58963980,-137.100006104,
58964040,-140.100006104,
58964100,-142.100006104,
58964160,-143.100006104,
58964220,-140.100006104,
58964280,-138.100006104,
58964340,-143.100006104,
58964400,-140.100006104,
58964460,-140.100006104,
58964520,-140.100006104,
58964580,-138.100006104,
58964640,-139.100006104,
58964700,415.899993896,
58964760,5577.8999939,
58964820,4794.8999939,
58964880,1670.8999939,
58964940,217.899993896,
58965000,166.899993896,
58965060,-103.100006104,
58965120,-130.0,
58965180,-128.0,
58965240,-134.0,
58965300,-134.0,
58965360,-133.0,
58965420,-133.0,
58965480,113.0,
58965540,2182.0,
58965600,2250.0,
58965660,2177.0,
58965720,51.0,
58965780,-130.0,
58965840,-132.0,
58965900,-131.0,
58965960,-134.0,
58966020,-132.0,
58966080,-133.0,
58966140,165.0,
58966200,3091.0,
58966260,3081.0,
58966320,82.0,
58966380,-132.0,
58966440,-131.0,
58966500,-133.0,
58966560,-146.0,
58966620,-146.0,
58966680,-145.0,
58966740,-145.0,
58966800,-142.0,
58966860,-142.0,
58966920,-142.0,
58966980,-142.0,
58967040,-142.0,
58967100,-142.0,
58967160,-142.0,
58967220,-142.0,
58967280,-140.0,
58967340,-143.0,
58967400,-145.0,
58967460,-143.0,
58967520,136.0,
58967580,2736.0,
58967640,2509.0,
58967700,2394.0,
58967760,34.0,
58967820,-143.0,
58967880,-144.0,
58967940,-142.0,
58968000,-217.300003052,
58968060,-216.300003052,
58968120,-216.300003052,
58968180,-216.300003052,
58968240,-215.300003052,
58968300,-214.300003052,
58968360,-215.300003052,
58968420,-215.300003052,
58968480,-213.300003052,
58968540,-214.300003052,
58968600,-213.300003052,
58968660,-214.300003052,
58968720,-213.300003052,
58968780,-212.300003052,
58968840,-215.300003052,
58968900,-214.300003052,
58968960,-214.300003052,
58969020,-212.300003052,
58969080,-214.300003052,
58969140,-216.300003052,
58969200,-214.300003052,
58969260,-215.300003052,
58969320,-212.300003052,
58969380,-212.300003052,
58969440,-160.699996948,
58969500,-160.699996948,
58969560,-160.699996948,
58969620,-160.699996948,
58969680,-158.699996948,
58969740,-160.699996948,
58969800,-159.699996948,
58969860,-159.699996948,
58969920,-160.699996948,
58969980,-160.699996948,
58970040,-160.699996948,
58970100,-159.699996948,
58970160,-159.699996948,
58970220,-160.699996948,
58970280,-159.699996948,
58970340,-159.699996948,
58970400,344.300003052,
58970460,4639.30000305,
58970520,4797.30000305,
58970580,4624.30000305,
58970640,135.300003052,
58970700,-153.699996948,
58970760,-157.699996948,
58970820,-156.699996948,
58970880,-161.699996948,
58970940,-161.699996948,
58971000,-162.699996948,
58971060,-161.699996948,
58971120,-160.699996948,
58971180,-159.699996948,
58971240,-161.699996948,
58971300,-162.699996948,
58971360,-162.699996948,
58971420,-161.699996948,
58971480,-161.699996948,
58971540,-160.699996948,
58971600,-160.699996948,
58971660,36.3000030518,
58971720,1193.30000305,
58971780,1244.30000305,
58971840,1237.30000305,
58971900,1382.30000305,
58971960,4153.30000305,
58972020,3973.30000305,
58972080,3803.30000305,
58972140,56.3000030518,
58972200,-159.699996948,
58972260,-157.699996948,
58972320,-156.899993896,
58972380,-157.899993896,
58972440,-155.899993896,
58972500,-157.899993896,
58972560,-156.899993896,
58972620,-155.899993896,
58972680,-155.899993896,
58972740,-155.899993896,
58972800,-154.899993896,
58972860,-157.899993896,
58972920,-156.899993896,
58972980,-157.899993896,
58973040,-156.899993896,
58973100,-157.899993896,
58973160,-159.899993896,
58973220,-157.899993896,
58973280,-158.899993896,
58973340,203.100006104,
58973400,4153.1000061,
58973460,3831.1000061,
58973520,2688.1000061,
58973580,13.1000061035,
58973640,-156.899993896,
58973700,-159.899993896,
58973760,-156.0,
58973820,-155.0,
58973880,-154.0,
58973940,-155.0,
58974000,-153.0,
