Date,temp,depth
1/4/2000 12:00,10.11,0
1/4/2000 12:00,9.86,5.248
1/4/2000 12:00,9.85,14.76
1/4/2000 12:00,9.83,21.32
1/4/2000 12:00,9.82,30.504
1/4/2000 12:00,9.81,38.704
1/4/2000 12:00,9.81,48.216
1/4/2000 12:00,9.8,60.352
1/4/2000 12:00,9.8,70.848
1/4/2000 12:00,9.8,79.376
1/4/2000 12:00,9.8,95.12
5/16/2000 12:00,15.51,0
5/16/2000 12:00,15.45,4.264
5/16/2000 12:00,12.64,12.136
5/16/2000 12:00,11.24,18.04
5/16/2000 12:00,10.53,25.912
5/16/2000 12:00,10.49,32.8
5/16/2000 12:00,10.44,39.032
5/16/2000 12:00,10.42,43.624
5/16/2000 12:00,10.42,48.544
5/16/2000 12:00,10.4,55.104
5/16/2000 12:00,10.39,61.664
5/16/2000 12:00,10.39,67.568
5/16/2000 12:00,10.39,75.112
5/16/2000 12:00,10.36,83.968
5/16/2000 12:00,10.35,92.496
5/16/2000 12:00,10.35,104.96
5/16/2000 12:00,10.35,111.848
6/7/2000 12:00,21.67,0
6/7/2000 12:00,21.72,1.312
6/7/2000 12:00,21.72,1.64
6/7/2000 12:00,21.71,2.624
6/7/2000 12:00,21.5,6.56
6/7/2000 12:00,14.9,11.808
6/7/2000 12:00,12.94,17.056
6/7/2000 12:00,12.1,21.648
6/7/2000 12:00,11.91,26.24
6/7/2000 12:00,11.72,30.832
6/7/2000 12:00,11.1,35.424
6/7/2000 12:00,10.97,40.672
6/7/2000 12:00,10.99,45.92
6/7/2000 12:00,10.96,52.152
6/7/2000 12:00,10.85,59.696
6/7/2000 12:00,10.83,63.632
6/7/2000 12:00,10.83,69.536
6/7/2000 12:00,10.83,73.144
6/7/2000 12:00,10.82,78.064
6/7/2000 12:00,10.81,83.312
6/7/2000 12:00,10.8,100.368
6/7/2000 12:00,10.81,117.096
6/7/2000 12:00,10.8,122.672
7/11/2000 12:00,24.73,0.328
7/11/2000 12:00,24.41,3.28
7/11/2000 12:00,24.13,5.904
7/11/2000 12:00,23.97,8.2
7/11/2000 12:00,21.66,13.448
7/11/2000 12:00,16.78,17.056
7/11/2000 12:00,15.84,20.336
7/11/2000 12:00,14.7,23.944
7/11/2000 12:00,13.72,26.568
7/11/2000 12:00,13.73,28.536
7/11/2000 12:00,13.56,32.144
7/11/2000 12:00,12.82,40.344
7/11/2000 12:00,12.78,46.576
7/11/2000 12:00,11.96,54.12
7/11/2000 12:00,11.78,58.712
7/11/2000 12:00,11.63,65.928
7/11/2000 12:00,11.61,71.832
7/11/2000 12:00,11.57,81.672
7/11/2000 12:00,11.55,88.888
7/11/2000 12:00,11.51,119.72
7/11/2000 12:00,11.51,123.328
7/20/2000 12:00,24.48,0.984
7/20/2000 12:00,24.09,4.264
7/20/2000 12:00,23.93,7.216
7/20/2000 12:00,23.57,10.168
7/20/2000 12:00,22.9,10.496
7/20/2000 12:00,17.23,16.072
7/20/2000 12:00,16.3,17.056
7/20/2000 12:00,15.64,20.992
7/20/2000 12:00,14.27,25.256
7/20/2000 12:00,13.86,29.52
7/20/2000 12:00,13.15,38.376
7/20/2000 12:00,12.72,44.28
7/20/2000 12:00,12.25,54.776
7/20/2000 12:00,11.87,68.88
7/20/2000 12:00,11.72,85.936
7/20/2000 12:00,11.68,103.976
7/20/2000 12:00,11.66,123.656
7/20/2000 12:00,11.68,124.64
8/2/2000 12:00,26.15,0
8/2/2000 12:00,26.05,1.312
8/2/2000 12:00,25.75,4.264
8/2/2000 12:00,25.35,7.216
8/2/2000 12:00,19.14,12.136
8/2/2000 12:00,17.9,13.448
8/2/2000 12:00,16.34,15.416
8/2/2000 12:00,15.77,18.696
8/2/2000 12:00,14.61,23.288
8/2/2000 12:00,13.35,33.784
8/2/2000 12:00,13,39.36
8/2/2000 12:00,12.82,47.888
8/2/2000 12:00,11.98,56.744
8/2/2000 12:00,11.94,64.616
8/2/2000 12:00,11.61,81.344
8/2/2000 12:00,11.62,101.024
8/2/2000 12:00,11.63,105.944
8/15/2000 12:00,24.37,0.984
8/15/2000 12:00,23.93,4.264
8/15/2000 12:00,23.68,8.2
8/15/2000 12:00,22.08,11.48
8/15/2000 12:00,16.7,15.744
8/15/2000 12:00,15.5,19.024
8/15/2000 12:00,14.74,21.976
8/15/2000 12:00,14.14,25.256
8/15/2000 12:00,13.99,27.88
8/15/2000 12:00,13.81,31.16
8/15/2000 12:00,13.68,33.784
8/15/2000 12:00,13.28,39.36
8/15/2000 12:00,13.08,40.016
