date, balance_flow [cfs]
59446080,264.270798415,
59446140,257.982318533,
59446200,255.982318562,
59446260,256.982318547,
59446320,256.982318547,
59446380,257.982318533,
59446440,256.982318548,
59446500,256.982318547,
59446560,257.982318533,
59446620,256.982318547,
59446680,257.982318533,
59446740,260.423025162,
59446800,258.982318519,
59446860,258.982318519,
59446920,256.982318547,
59446980,255.982318562,
59447040,257.982318533,
59447100,257.982318534,
59447160,259.982318504,
59447220,258.982318519,
59447280,260.98231849,
59447340,259.982318504,
59447400,259.982318504,
59447460,256.982318547,
59447520,262.5079841,
59447580,267.474344009,
59447640,267.474344009,
59447700,264.033637394,
59447760,266.474344023,
59447820,266.474344023,
59447880,266.033637365,
59447940,265.474344038,
59448000,266.474344023,
59448060,266.033637365,
59448120,267.474344009,
59448180,265.474344038,
59448240,266.033637365,
59448300,265.474344038,
59448360,222.474344657,
59448420,107.033639655,
59448480,78.4743467298,
59448540,-35.5256516283,
59448600,-42.9663581854,
59448660,-93.5256507936,
59448720,-1205.52563478,
59448780,-1152.9663422,
59448840,-855.525639822,
59448900,142.474345809,
59448960,150.04283637,
59449020,32.052038677,
59449080,30.6113320329,
59449140,32.052038677,
59449200,30.0520387058,
59449260,30.611332033,
59449320,31.0520386913,
59449380,32.052038677,
59449440,31.6113320186,
59449500,29.0520387201,
59449560,31.0520386914,
59449620,30.611332033,
59449680,31.0520386914,
59449740,29.0520387202,
59449800,29.6113320473,
59449860,31.0520386914,
59449920,29.0520387202,
59449980,29.6113320473,
59450040,31.0520386914,
59450100,32.052038677,
59450160,32.0520386765,
59450220,30.6113320334,
59450280,31.0520386914,
59450340,29.0520387197,
59450400,32.3741586657,
59450460,33.5776919702,
59450520,35.5776919415,
59450580,34.5776919558,
59450640,34.5776919558,
59450700,34.5776919558,
59450760,34.5776919558,
59450820,32.5776919846,
59450880,33.5776919702,
59450940,34.5776919558,
59451000,34.5776919558,
59451060,33.5776919702,
59451120,34.5776919558,
59451180,35.5776919409,
59451240,34.5776919558,
59451300,35.5776919415,
59451360,33.5776919702,
59451420,35.5776919414,
59451480,-220.422304372,
59451540,-1964.42227926,
59451600,-2271.42227484,
59451660,-965.422293645,
59451720,-50.4223068203,
59451780,32.5776919846,
59451840,235.421329048,
59451900,438.26497843,
59451960,437.824271772,
59452020,437.264978444,
59452080,435.8242718,
59452140,438.26497843,
59452200,439.824271742,
59452260,438.26497843,
59452320,438.824271757,
59452380,439.264978415,
59452440,438.26497843,
