$NML dam release year 2005 YC 03/22/2023,,,
",,,",,,
Jday,spillway,upper intake,lower intake
1,0.001,0.934447119,0.001
1.041666667,0.001,0.934447119,0.001
1.083333333,0.001,0.934447119,0.001
1.125,0.001,0.934447119,0.001
1.166666667,0.001,0.934447119,0.001
1.208333333,0.001,0.934447119,0.001
1.25,0.001,0.934447119,0.001
1.291666667,0.001,0.934447119,0.001
1.333333333,0.001,0.934447119,0.001
1.375,0.001,0.934447119,0.001
1.416666667,0.001,0.934447119,0.001
1.458333333,0.001,0.934447119,0.001
1.5,0.001,0.934447119,0.001
1.541666667,0.001,0.934447119,0.001
1.583333333,0.001,0.934447119,0.001
1.625,0.001,0.934447119,0.001
1.666666667,0.001,0.934447119,0.001
1.708333333,0.001,0.934447119,0.001
1.75,0.001,0.934447119,0.001
1.791666667,0.001,0.934447119,0.001
1.833333333,0.001,0.934447119,0.001
1.875,0.001,0.934447119,0.001
1.916666667,0.001,0.934447119,0.001
1.958333333,0.001,0.934447119,0.001
2,0.001,0.934447119,0.001
2.041666667,0.001,0.934447119,0.001
2.083333333,0.001,0.934447119,0.001
2.125,0.001,0.934447119,0.001
2.166666667,0.001,0.934447119,0.001
2.208333333,0.001,0.934447119,0.001
2.25,0.001,0.934447119,0.001
2.291666667,0.001,0.934447119,0.001
2.333333333,0.001,0.934447119,0.001
2.375,0.001,0.934447119,0.001
2.416666667,0.001,0.934447119,0.001
2.458333333,0.001,0.934447119,0.001
2.5,0.001,0.934447119,0.001
2.541666667,0.001,0.934447119,0.001
2.583333333,0.001,0.934447119,0.001
2.625,0.001,0.934447119,0.001
2.666666667,0.001,0.934447119,0.001
2.708333333,0.001,0.934447119,0.001
2.75,0.001,0.934447119,0.001
2.791666667,0.001,0.934447119,0.001
2.833333333,0.001,0.934447119,0.001
2.875,0.001,0.934447119,0.001
2.916666667,0.001,0.934447119,0.001
2.958333333,0.001,0.934447119,0.001
3,0.001,0.934447119,0.001
3.041666667,0.001,0.934447119,0.001
3.083333333,0.001,0.934447119,0.001
3.125,0.001,0.934447119,0.001
3.166666667,0.001,0.934447119,0.001
3.208333333,0.001,0.934447119,0.001
3.25,0.001,0.934447119,0.001
3.291666667,0.001,0.934447119,0.001
3.333333333,0.001,0.934447119,0.001
3.375,0.001,0.934447119,0.001
3.416666667,0.001,0.934447119,0.001
3.458333333,0.001,0.934447119,0.001
3.5,0.001,0.934447119,0.001
3.541666667,0.001,0.934447119,0.001
3.583333333,0.001,0.934447119,0.001
3.625,0.001,0.934447119,0.001
3.666666667,0.001,0.934447119,0.001
3.708333333,0.001,0.934447119,0.001
3.75,0.001,0.934447119,0.001
3.791666667,0.001,0.934447119,0.001
3.833333333,0.001,0.934447119,0.001
3.875,0.001,0.934447119,0.001
3.916666667,0.001,0.934447119,0.001
3.958333333,0.001,0.934447119,0.001
4,0.001,0.934447119,0.001
4.041666667,0.001,0.934447119,0.001
4.083333333,0.001,0.934447119,0.001
4.125,0.001,0.934447119,0.001
4.166666667,0.001,0.934447119,0.001
4.208333333,0.001,0.934447119,0.001
4.25,0.001,0.934447119,0.001
4.291666667,0.001,0.934447119,0.001
4.333333333,0.001,0.934447119,0.001
4.375,0.001,0.934447119,0.001
4.416666667,0.001,0.934447119,0.001
4.458333333,0.001,0.934447119,0.001
4.5,0.001,0.934447119,0.001
4.541666667,0.001,0.934447119,0.001
4.583333333,0.001,0.934447119,0.001
4.625,0.001,0.934447119,0.001
4.666666667,0.001,0.934447119,0.001
4.708333333,0.001,0.934447119,0.001
4.75,0.001,0.934447119,0.001
4.791666667,0.001,0.934447119,0.001
4.833333333,0.001,0.934447119,0.001
4.875,0.001,0.934447119,0.001
4.916666667,0.001,0.934447119,0.001
4.958333333,0.001,0.934447119,0.001
5,0.001,0.934447119,0.001
5.041666667,0.001,0.934447119,0.001
5.083333333,0.001,0.934447119,0.001
5.125,0.001,0.934447119,0.001
5.166666667,0.001,0.934447119,0.001
5.208333333,0.001,0.934447119,0.001
5.25,0.001,0.934447119,0.001
5.291666667,0.001,0.934447119,0.001
5.333333333,0.001,0.934447119,0.001
5.375,0.001,0.934447119,0.001
5.416666667,0.001,0.934447119,0.001
5.458333333,0.001,0.934447119,0.001
5.5,0.001,0.934447119,0.001
5.541666667,0.001,0.934447119,0.001
5.583333333,0.001,0.934447119,0.001
5.625,0.001,0.934447119,0.001
5.666666667,0.001,0.934447119,0.001
5.708333333,0.001,0.934447119,0.001
5.75,0.001,0.934447119,0.001
5.791666667,0.001,0.934447119,0.001
5.833333333,0.001,0.934447119,0.001
5.875,0.001,0.934447119,0.001
5.916666667,0.001,0.934447119,0.001
5.958333333,0.001,0.934447119,0.001
6,0.001,0.934447119,0.001
6.041666667,0.001,0.934447119,0.001
6.083333333,0.001,0.934447119,0.001
6.125,0.001,0.934447119,0.001
6.166666667,0.001,0.934447119,0.001
6.208333333,0.001,0.934447119,0.001
6.25,0.001,0.934447119,0.001
6.291666667,0.001,0.934447119,0.001
6.333333333,0.001,0.934447119,0.001
6.375,0.001,0.934447119,0.001
6.416666667,0.001,0.934447119,0.001
6.458333333,0.001,0.934447119,0.001
6.5,0.001,0.934447119,0.001
6.541666667,0.001,0.934447119,0.001
6.583333333,0.001,0.934447119,0.001
6.625,0.001,0.934447119,0.001
6.666666667,0.001,0.934447119,0.001
6.708333333,0.001,0.934447119,0.001
6.75,0.001,0.934447119,0.001
6.791666667,0.001,0.934447119,0.001
6.833333333,0.001,0.934447119,0.001
6.875,0.001,0.934447119,0.001
6.916666667,0.001,0.934447119,0.001
6.958333333,0.001,0.934447119,0.001
7,0.001,0.934447119,0.001
7.041666667,0.001,0.934447119,0.001
7.083333333,0.001,0.934447119,0.001
7.125,0.001,0.934447119,0.001
7.166666667,0.001,0.934447119,0.001
7.208333333,0.001,0.934447119,0.001
7.25,0.001,0.934447119,0.001
7.291666667,0.001,0.934447119,0.001
7.333333333,0.001,0.934447119,0.001
7.375,0.001,0.934447119,0.001
7.416666667,0.001,0.934447119,0.001
7.458333333,0.001,0.934447119,0.001
7.5,0.001,0.934447119,0.001
7.541666667,0.001,0.934447119,0.001
7.583333333,0.001,0.934447119,0.001
7.625,0.001,0.934447119,0.001
7.666666667,0.001,0.934447119,0.001
7.708333333,0.001,0.934447119,0.001
7.75,0.001,0.934447119,0.001
7.791666667,0.001,0.934447119,0.001
7.833333333,0.001,0.934447119,0.001
7.875,0.001,0.934447119,0.001
7.916666667,0.001,0.934447119,0.001
7.958333333,0.001,0.934447119,0.001
8,0.001,0.934447119,0.001
8.041666667,0.001,0.934447119,0.001
8.083333333,0.001,0.934447119,0.001
8.125,0.001,0.934447119,0.001
8.166666667,0.001,0.934447119,0.001
8.208333333,0.001,0.934447119,0.001
8.25,0.001,0.934447119,0.001
8.291666667,0.001,0.934447119,0.001
