$NML distributed tributary year 2006 YC 03/22/2023,
",,,",
Jday,qdt
1,87.35611014
2,220.4110292
3,28.67007852
4,38.82578098
5,24.45941424
6,28.0774968
7,21.92404476
8,2.13707321
9,15.98565985
10,7.92566697
11,28.82066044
12,16.31347892
13,2.532075788
14,110.5241582
15,20.09306814
16,37.10473755
17,72.71127528
18,35.08615551
19,21.6321742
20,-17.57471405
21,13.18516817
22,34.13243001
23,19.25305406
24,67.91753256
25,7.154473838
26,10.47518564
27,3.805232276
28,14.2241446
29,4.225798395
30,3.7002939
31,-3.65842603
32,-3.77393089
33,7.23850705
34,-2.28591784
35,0.98061334
36,19.7141863
37,52.20443763
38,25.58748538
39,3.34292438
40,1.7485454
41,3.79077492
42,9.62167683
43,3.44662003
44,-1.26586338
45,-6.7661278
46,18.74945848
47,9.53780713
48,8.218773091
49,15.7814796
50,69.14370687
51,38.173377
52,6.309630139
53,16.25917763
54,-3.248728321
55,7.14033058
56,-20.67976389
57,-12.94035955
58,43.19862976
59,126.1536498
60,-3.55564906
61,59.01469499
62,72.12736643
63,46.91996661
64,37.56555252
65,37.37478093
66,23.76822754
67,42.70205523
68,28.33372359
69,33.0599012
70,45.55019294
71,30.69065132
72,35.87009025
73,64.86172302
74,45.31601688
75,32.87476405
76,47.80888356
77,36.5860057
78,31.7487777
79,44.18695572
80,33.78117787
81,31.97719969
82,22.02238307
83,27.46955782
84,114.1734125
85,67.48818413
86,50.50933757
87,103.5892391
88,49.60097194
89,57.85909023
90,100.3919291
91,88.07862114
92,62.5878383
93,194.9990093
94,414.5748541
95,245.4732075
96,34.3367416
97,55.66385485
98,22.16434493
99,77.97416249
100,74.58803191
101,136.9483294
102,88.59417248
103,73.79290882
104,49.06221478
105,76.29781889
106,186.921709
107,117.1230307
108,36.74654134
109,45.27328406
110,62.18044913
111,62.64744889
112,66.62957594
113,86.10675423
114,87.20066876
115,7.05101251
116,103.8306743
117,50.32195948
118,59.57972122
119,75.01016335
120,83.93131238
121,68.54518085
122,70.85757146
123,59.74869849
124,59.72152893
125,34.16565263
126,-31.8429248
127,3.96492916
128,68.70810725
129,68.99816346
130,134.2326841
131,57.47597389
132,83.67412305
133,74.4743994
134,65.64431725
135,121.9951118
136,98.38758889
137,73.29853216
138,96.30720155
139,88.2571419
140,88.25977321
141,84.59782531
142,99.20489371
143,62.76442753
144,89.40864228
145,45.04125883
146,-20.27677784
147,26.4833657
148,27.10279057
149,41.18083545
150,39.9282349
151,40.6281441
152,40.28218009
153,153.6097446
154,56.14030593
155,64.59422752
156,66.36948181
157,69.6444862
158,123.8497886
159,54.97248504
160,44.96007469
161,36.46123389
162,38.89540726
163,102.3492752
164,4.83611541
165,7.33788572
166,8.16359179
167,15.01443413
168,28.24381523
169,42.67885049
170,-59.29086839
171,11.89529678
172,6.750444343
173,18.63538521
174,-39.4340637
175,-49.71916556
176,66.1151603
177,15.14366796
178,15.23162072
179,15.53410347
180,21.83920463
181,16.42431889
182,22.12989116
183,21.56009414
184,31.69616633
185,21.40308096
186,29.51042004
187,38.53782824
188,-8.771777196
189,-18.48704922
190,4.630023857
191,2.70667533
192,-27.76459864
193,-28.08573684
194,0.086096611
195,-0.41767829
196,-3.20396767
197,-7.249873659
198,-0.553331191
199,1.153410099
200,-0.761516636
201,-4.308266709
202,-64.62961025
203,1.403968444
204,41.32412716
205,-2.43982054
206,-13.26270201
207,-0.905915726
208,2.174036322
209,-24.34543159
210,-6.1849819
211,0.54884279
212,-30.78974514
213,0.137491797
214,13.47377742
215,-6.465385047
216,-0.524737484
217,-10.60967454
218,-6.440938445
219,-1.764385025
220,11.54961148
221,-1.158441635
222,-21.76052314
223,-2.327909462
224,-0.52518842
225,1.802262749
226,-2.966629155
227,-4.100378013
228,-1.58699424
229,-1.614275158
230,-0.317570948
231,0.053115437
232,-2.165726244
233,49.54840426
234,-36.11009214
235,1.059795218
236,0.049655485
237,-6.968378904
238,-0.612571624
239,-0.080835163
240,-6.65001486
241,12.93290457
242,-4.434035708
243,2.806408825
244,32.1297885
245,46.78577278
246,-32.56286376
247,-2.573149524
248,22.05542702
249,-0.771049907
250,-1.306794041
251,-10.9185698
252,0.707968007
253,-2.69669284
254,0.338871471
255,-3.337190832
256,0.557813987
257,31.67633584
258,-3.358223835
259,-0.086387059
260,6.147829566
261,39.9671693
262,-20.42427188
263,-2.619371994
264,5.478371471
265,11.9988489
266,-7.607593027
267,0.098316898
268,38.19165732
269,32.02600256
270,-15.23298309
271,-1.531734021
272,0.42614802
273,-1.909772156
274,11.15781486
275,58.75209306
276,2.263569407
277,21.09024953
278,18.87035795
279,49.5689764
280,-7.67065126
281,12.76937287
282,22.10735072
283,9.483394925
284,12.06201144
285,-1.96778559
286,5.018841705
287,3.76580651
288,10.00738627
289,3.451905461
290,2.70887088
291,-3.70743646
292,40.14083871
293,0.545453087
294,-72.86018311
295,6.607430204
296,-14.26234208
297,29.86486689
298,32.51215877
299,23.9019064
300,-1.852117146
301,11.98469361
302,-11.33096151
303,10.48054335
304,-6.336456799
305,-15.79253262
306,-48.31181324
307,0.930944989
308,1.962358367
309,-0.392880058
310,0.59434408
311,0.953462129
312,17.63901983
313,5.109554047
314,-7.24993895
315,-5.267502881
316,-0.454830356
317,-1.79171496
318,-3.954234632
319,-9.573216554
320,-38.59152231
321,-23.81431721
322,14.81380746
323,4.927215388
324,0.128629426
325,0.205426274
326,-0.435372489
327,-1.00877814
328,1.772145925
329,-0.565294791
330,12.0098007
331,18.64319402
332,73.99956848
333,7.204808266
334,-16.81296376
335,-14.93818122
336,-7.28105192
337,-1.807147046
338,-7.435477134
339,-3.912167975
340,-11.56624234
341,-19.19657551
342,-0.65325209
343,3.45023716
344,13.2455295
345,25.72480568
346,27.51262633
347,13.743743
348,-12.8508974
349,-6.445855343
350,1.044402218
351,1.680357877
352,-0.557035788
353,-0.254204158
354,2.97243239
355,6.333176313
356,6.037175148
357,4.672995962
358,12.45038784
359,12.61497225
360,17.07307509
361,20.77367274
362,8.704702315
363,7.152471241
364,23.52139002
365,13.484
366,0
