$NML Br1 inflow year 2006 YC 03/22/2023,
",,,",
Jday,Inflow
1,92.73403988
1.041666667,92.73403988
1.083333333,92.73403988
1.125,92.73403988
1.166666667,92.73403988
1.208333333,92.73403988
1.25,92.73403988
1.291666667,92.73403988
1.333333333,92.73403988
1.375,92.73403988
1.416666667,92.73403988
1.458333333,92.73403988
1.5,92.73403988
1.541666667,92.73403988
1.583333333,92.73403988
1.625,92.73403988
1.666666667,92.73403988
1.708333333,92.73403988
1.75,92.73403988
1.791666667,92.73403988
1.833333333,92.73403988
1.875,92.73403988
1.916666667,92.73403988
1.958333333,92.73403988
2,91.59720216
2.041666667,91.59720216
2.083333333,91.59720216
2.125,91.59720216
2.166666667,91.59720216
2.208333333,91.59720216
2.25,91.59720216
2.291666667,91.59720216
2.333333333,91.59720216
2.375,91.59720216
2.416666667,91.59720216
2.458333333,91.59720216
2.5,91.59720216
2.541666667,91.59720216
2.583333333,91.59720216
2.625,91.59720216
2.666666667,91.59720216
2.708333333,91.59720216
2.75,91.59720216
2.791666667,91.59720216
2.833333333,91.59720216
2.875,91.59720216
2.916666667,91.59720216
2.958333333,91.59720216
3,64.99029034
3.041666667,64.99029034
3.083333333,64.99029034
3.125,64.99029034
3.166666667,64.99029034
3.208333333,64.99029034
3.25,64.99029034
3.291666667,64.99029034
3.333333333,64.99029034
3.375,64.99029034
3.416666667,64.99029034
3.458333333,64.99029034
3.5,64.99029034
3.541666667,64.99029034
3.583333333,64.99029034
3.625,64.99029034
3.666666667,64.99029034
3.708333333,64.99029034
3.75,64.99029034
3.791666667,64.99029034
3.833333333,64.99029034
3.875,64.99029034
3.916666667,64.99029034
3.958333333,64.99029034
4,54.95554847
4.041666667,54.95554847
4.083333333,54.95554847
4.125,54.95554847
4.166666667,54.95554847
4.208333333,54.95554847
4.25,54.95554847
4.291666667,54.95554847
4.333333333,54.95554847
4.375,54.95554847
4.416666667,54.95554847
4.458333333,54.95554847
4.5,54.95554847
4.541666667,54.95554847
4.583333333,54.95554847
4.625,54.95554847
4.666666667,54.95554847
4.708333333,54.95554847
4.75,54.95554847
4.791666667,54.95554847
4.833333333,54.95554847
4.875,54.95554847
4.916666667,54.95554847
4.958333333,54.95554847
5,50.78883675
5.041666667,50.78883675
5.083333333,50.78883675
5.125,50.78883675
5.166666667,50.78883675
5.208333333,50.78883675
5.25,50.78883675
5.291666667,50.78883675
5.333333333,50.78883675
5.375,50.78883675
5.416666667,50.78883675
5.458333333,50.78883675
5.5,50.78883675
5.541666667,50.78883675
5.583333333,50.78883675
5.625,50.78883675
5.666666667,50.78883675
5.708333333,50.78883675
5.75,50.78883675
5.791666667,50.78883675
5.833333333,50.78883675
