$NML Br1 inflow Tw year 2006 YC 03/22/2023,
",,,",
Jday,Tw
1,5.759301134
1.041666667,5.661088714
1.083333333,5.599692486
1.125,5.497259415
1.166666667,5.493091352
1.208333333,5.4890836
1.25,5.485075847
1.291666667,5.476900031
1.333333333,5.468884526
1.375,5.31512126
1.416666667,5.222873818
1.458333333,5.169653406
1.5,5.165645653
1.541666667,5.16147759
1.583333333,5.145286269
1.625,5.157469837
1.666666667,5.16147759
1.708333333,5.16147759
1.75,5.16147759
1.791666667,5.169653406
1.833333333,5.181836974
1.875,5.19001279
1.916666667,5.194020543
1.958333333,5.194020543
2,5.00870255
2.041666667,5.00870255
2.083333333,5.144854018
2.125,5.00870255
2.166666667,5.012705944
2.208333333,5.012705944
2.25,5.016869474
2.291666667,5.081789379
2.333333333,5.077625849
2.375,5.073622455
2.416666667,5.134538966
2.458333333,5.195295341
2.5,5.187288553
2.541666667,5.124516776
2.583333333,5.222401565
2.625,5.222401565
2.666666667,5.222401565
2.708333333,5.218398171
2.75,5.214234641
2.791666667,5.206227853
2.833333333,5.198060929
2.875,5.193897399
2.916666667,5.189894005
2.958333333,5.138447144
3,5.062846954
3.041666667,5.050886859
3.083333333,4.862898406
3.125,4.961883703
3.166666667,4.961883703
3.208333333,4.955903655
3.25,4.866900499
3.291666667,4.866900499
3.333333333,4.866900499
3.375,4.778136545
3.416666667,4.771917295
3.458333333,4.771917295
3.5,4.765937248
3.541666667,4.826300512
3.583333333,4.778136545
3.625,4.784116593
3.666666667,4.790335843
3.708333333,4.808515189
3.75,4.814495237
3.791666667,4.826694535
3.833333333,4.838893832
3.875,4.84487388
3.916666667,4.84487388
3.958333333,4.84487388
4,4.832708689
4.041666667,4.832708689
4.083333333,4.874713743
4.125,4.819858536
4.166666667,4.899810231
4.208333333,4.893511137
4.25,4.893511137
4.291666667,4.807008384
4.333333333,4.80070929
4.375,4.80070929
4.416666667,4.794410195
4.458333333,4.781560043
4.5,4.781560043
4.541666667,4.829864192
4.583333333,4.861511738
4.625,4.787859137
4.666666667,4.880660984
4.708333333,4.886960079
4.75,4.893511137
4.791666667,4.906361289
4.833333333,4.912660383
4.875,4.918959478
4.916666667,4.998911172
4.958333333,4.998911172
5,5.098277358
5.041666667,5.084230809
5.083333333,5.205436444
5.125,5.14396479
5.166666667,5.137079227
5.208333333,5.179380684
5.25,5.172219698
