$Br1 inflow Tw year 2005 YC 03/22/2023,
",,,",
Jday,Tw
1,5.523883249
1.041666667,5.523883249
1.083333333,5.570786802
1.125,5.523883249
1.166666667,5.523883249
1.208333333,5.523883249
1.25,5.614758883
1.291666667,5.515063452
1.333333333,5.515063452
1.375,5.515063452
1.416666667,5.33072335
1.458333333,5.318159898
1.5,5.33072335
1.541666667,5.33072335
1.583333333,5.236916244
1.625,5.297220812
1.666666667,5.390685279
1.708333333,5.390685279
1.75,5.537284264
1.791666667,5.396573604
1.833333333,5.396573604
1.875,5.396573604
1.916666667,5.490038071
1.958333333,5.443134518
2,5.349545455
2.041666667,5.302207792
2.083333333,5.349545455
2.125,5.349545455
2.166666667,5.450532468
2.208333333,5.397506494
2.25,5.397506494
2.291666667,5.436818182
2.333333333,5.296519481
2.375,5.246025974
2.416666667,5.246025974
2.458333333,5.246025974
2.5,5.212402597
2.541666667,5.212402597
2.583333333,5.174766234
2.625,5.22525974
2.666666667,5.328779221
2.708333333,5.278285714
2.75,5.278285714
2.791666667,5.227792208
2.833333333,5.177298701
2.875,5.191012987
2.916666667,5.374077922
2.958333333,5.438285714
3,5.77128655
3.041666667,5.720292398
3.083333333,5.791403509
3.125,5.682397661
3.166666667,5.717953216
3.208333333,5.786842105
3.25,5.857953216
3.291666667,5.682397661
3.333333333,5.682397661
3.375,5.70251462
3.416666667,5.669210526
3.458333333,5.600321637
3.5,5.564766082
3.541666667,5.564766082
3.583333333,5.600321637
3.625,5.649093567
3.666666667,5.580204678
3.708333333,5.544649123
3.75,5.646842105
3.791666667,5.61128655
3.833333333,5.682397661
3.875,5.666959064
3.916666667,5.735847953
3.958333333,5.771403509
4,5.864817518
4.041666667,5.671065693
4.083333333,5.604963504
4.125,5.680992701
4.166666667,5.666540146
4.208333333,5.705781022
4.25,5.745021898
4.291666667,5.62729927
4.333333333,5.437094891
4.375,5.437094891
4.416666667,5.437094891
4.458333333,5.437094891
4.5,5.476335766
4.541666667,5.476335766
4.583333333,5.437094891
4.625,5.607021898
4.666666667,5.68550365
4.708333333,5.567781022
4.75,5.567781022
4.791666667,5.491751825
4.833333333,5.528540146
4.875,5.528540146
4.916666667,5.528540146
4.958333333,5.528540146
5,5.289449838
5.041666667,5.289449838
5.083333333,5.434692557
5.125,5.386278317
5.166666667,5.434692557
5.208333333,5.531521036
5.25,5.558786408
