$Green Spring Met year 2005 YC 02/02/2023,,,,,,
",,,",,,,,,
Jday,TAIR,TDEW,WIND,PHI,Cloud,Solar
1.000,6.111111111,3.78,5.36448,2.6878082,0,3.99296392
1.042,6.111111111,5.52,3.57632,3.7350062,0,3.99296392
1.083,6.111111111,5.52,4.91744,2.6878082,0,3.99296392
1.125,6.111111111,5.22,4.4704,2.6354483,0,3.99296392
1.167,6.111111111,4.91,4.02336,2.5132752,0,3.99296392
1.208,6.111111111,4.6,4.02336,2.3736488,0,3.99296392
1.250,6.666666667,5.15,4.02336,2.094396,0,3.99296392
1.292,6.666666667,4.83,4.02336,2.1991158,0,22.46042205
1.333,6.111111111,4.28,3.57632,2.2165691,0,101.3214595
1.375,6.666666667,5.46,4.02336,2.6703549,0,232.0910279
1.417,7.222222222,5.85,1.34112,2.2863823,0,308.9555833
1.458,8.888888889,7.01,2.68224,2.2863823,0,368.8500421
1.500,8.888888889,5.63,4.4704,2.4783686,0,278.0101129
1.542,9.444444444,6.17,3.57632,3.0368742,0,430.7409829
1.583,8.888888889,5.45,4.02336,3.1241407,0,355.8729094
1.625,8.333333333,5.44,2.2352,2.4609153,0,142.2493397
1.667,8.888888889,6.51,2.2352,2.5830884,0,37.43403675
1.708,8.333333333,3.98,3.57632,2.6529016,0,3.99296392
1.750,6.666666667,2.18,1.78816,2.8274346,0,3.99296392
1.792,5.555555556,2.56,0.89408,1.396264,0,3.99296392
1.833,6.666666667,4.99,0.44704,1.221731,0,3.99296392
1.875,6.111111111,5.07,0.89408,3.8048194,0,3.99296392
1.917,6.111111111,5.07,0,5.8468555,0,3.99296392
1.958,6.111111111,5.07,0,1.4311706,0,3.99296392
2.000,6.111111111,5.07,1.34112,1.0646513,0,3.99296392
2.042,6.111111111,5.37,0,1.4835305,0,3.49384343
2.083,6.111111111,5.22,0.44704,1.5009838,0,3.99296392
2.125,6.111111111,5.22,0.89408,1.570797,0,3.49384343
2.167,6.666666667,5.62,1.34112,1.5184371,0,3.99296392
2.208,6.111111111,5.07,1.34112,1.8675031,0,3.99296392
