$ New Melones Lake bathymetry   ES   01/24/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG:I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,
DLX,131.8132,131.8132,304.7403,149.6546,238.4467,235.2267,243.7286,325.0601,378.6449,282.9923,285.6206,344.3279,368.0372,415.2536,344.3397,283.0043,344.4342,452.6815,344.436,238.7561,344.4371,483.8777,333.072,344.4061,175.5146,344.4107,283.0415,222.0466,141.5232,175.5306,216.5769,226.053,444.0913,444.0911,344.4405,452.7238,285.7857,376.5038,452.6812,452.6816,484.0002,516.3217,477.5442,516.3347,344.4437,424.6566,344.4445,400.4908,315.0802,500.2603,321.4391,327.7166,571.8709,311.0614,356.1601,504.5042,736.944,571.8857,878.3789,508.3801,931.9754,582.2349,283.1543,351.4396,344.6324,283.1502,586.764,415.9871,388.5038,439.2191,484.1399,566.2815,555.0812,344.4425,484.1907,344.4447,424.7494,344.4456,444.0636,484.2454,538.8688,484.2614,344.7049,376.5945,333.0499,232.9549,278.9498,432.8903,297.1888,301.9191,301.9191,202.2286,202.2286,236.528,180.0555,226.4334,200.9024,150.3902,300,264.241,264.241,219.721,219.721,211.9879,312.2198,328.6352,278.2706,267.9206,269.7338,306.4933,385.0437,429.6954,460.508,460.508,271.1842,271.1842,262.0759,326.0991,355.5092,272.4465,209.9123,277.5184,404.3739,399.101,405.9171,366.4555,377.8602,425,400,375,375,380,398.263,398.263,343.1248,343.1248,428.5494,850.5624,455.647,488.2049,400,400,389.585,389.585,
ELWS,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,295.656,
PHIO,0.5252,0.5252,0.9644,0.6495,0.2898,0.1631,0.4183,0.0447,0.4224,0.6405,1.1434,0.8418,1.2363,0.9786,0.842,0.6408,0.2296,6.0602,0.2297,0.3484,5.9977,0.7837,6.2553,0.8423,1.543,0.8424,0.6412,6.2554,0.6412,1.5431,1.8396,0.6626,6.2555,6.2555,0.23,1.2954,1.9422,0.4576,0.1676,0.1677,0.7844,0.5079,0.3491,0.508,0.2304,0.6419,0.2305,0.1513,0.7515,1.448,0.1292,5.4962,5.0839,0.3034,0.9628,1.8591,1.8497,1.145,1.5438,0.6032,0.1236,0.2797,0.6426,1.544,2.2441,2.4454,3.5557,2.5184,1.8699,1.5441,0.7856,0.6429,6.2566,5.9987,5.4443,0.2314,0.643,0.2314,6.2567,5.4443,4.8933,5.4441,5.3856,5.7708,6.2565,0.1057,0.4692,0.8142,1.4093,0.8547,0.8547,1.6033,1.6033,1.604,1.8889,1.5478,1.263,2.4907,0.7854,1.2702,1.2702,0.069,0.069,0.5966,0.8353,6.2455,5.8576,5.6332,6.0162,6.2332,0.3836,0.6487,6.2371,6.2371,5.6105,5.6105,5.821,5.6913,5.8043,5.7886,5.8159,5.6546,0.2826,0.6948,0.3504,6.2809,6.2104,5.62,5.8469,6.1087,0,5.6723,5.0712,5.0712,2.5492,2.5492,2.5542,2.2191,2.2299,2.4872,2.0944,1.9199,1.9729,1.9729,
FRICT,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,
LAYERH,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR2,,,,,,,,,,BR3,,,,,,,,,,,,,BR4,,,,,,,,,,,,,,,,,,,,BR5,,,,,,,,,K
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,111.79,145.98,141.46,95.41,152.25,169.27,107.52,175.67,178.91,136.91,142.2,163.75,194.96,209.85,304.93,300.75,279.18,306.74,310.66,281.65,387.58,343.65,399.78,320.05,318.74,282.99,313.97,336.57,325.98,330.66,383.24,346.94,519.83,392.49,466.44,509.24,806.61,627.41,562.75,595.79,635.37,1018.41,515.82,545.49,534.17,499.67,578.12,516.37,886.36,691.04,726.34,1075.43,1165.02,1016.66,821.46,730.78,758.14,1054.97,1433.1,937.39,1044.54,1372.24,1047.78,1106.84,1702.54,1792.11,1921.98,1718.88,1789.04,1662.52,2329.62,2508.82,2865.99,2522.35,2688.03,2688.02,3583.91,3583.93,2156.93,2768.5,2933.99,3127.16,3468.84,3500.82,3241.77,2812.28,705.71,891.25,802.06,0,0,99.62,113.13,160.26,232.34,203.91,251.08,211.07,233.27,0,0,91.69,100.25,255.76,328.49,358.7,269.14,439.81,429.71,559.47,1254.61,1504.2,0,0,391.18,419.03,447.35,304.3,485.41,1062.69,1792.12,686.61,1090.57,1774.17,2267.65,2759.78,2774.85,2627.38,2240.07,2150.48,1344.2,1344.2,0,0,506.59,745.15,1995.31,2688.02,2467.07,2630.27,2507.92,1523.37,0,
1,0,111.79,145.98,141.46,95.41,152.25,169.27,107.52,175.67,178.91,136.91,142.2,163.75,194.96,209.85,304.93,300.75,279.18,306.74,310.66,281.65,387.58,343.65,399.78,320.05,318.74,282.99,313.97,336.57,325.98,330.66,383.24,346.94,519.83,392.49,466.44,509.24,806.61,627.41,562.75,595.79,635.37,1018.41,515.82,545.49,534.17,499.67,578.12,516.37,886.36,691.04,726.34,1075.43,1165.02,1016.66,821.46,730.78,758.14,1054.97,1433.1,937.39,1044.54,1372.24,1047.78,1106.84,1702.54,1792.11,1921.98,1718.88,1789.04,1662.52,2329.62,2508.82,2865.99,2522.35,2688.03,2688.02,3583.91,3583.93,2156.93,2768.5,2933.99,3127.16,3468.84,3500.82,3241.77,2812.28,705.71,891.25,802.06,0,0,99.62,113.13,160.26,232.34,203.91,251.08,211.07,233.27,0,0,91.69,100.25,255.76,328.49,358.7,269.14,439.81,429.71,559.47,1254.61,1504.2,0,0,391.18,419.03,447.35,304.3,485.41,1062.69,1792.12,686.61,1090.57,1774.17,2267.65,2759.78,2774.85,2627.38,2240.07,2150.48,1344.2,1344.2,0,0,506.59,745.15,1995.31,2688.02,2467.07,2630.27,2507.92,1523.37,0,
1,0,111.79,145.98,141.46,95.41,152.25,169.27,107.52,175.67,178.91,136.91,142.2,163.75,194.96,209.85,304.93,300.75,279.18,306.74,310.66,281.65,387.58,343.65,399.78,320.05,318.74,282.99,313.97,336.57,325.98,330.66,383.24,346.94,519.83,392.49,466.44,509.24,806.61,627.41,562.75,595.79,635.37,1018.41,515.82,545.49,534.17,499.67,578.12,516.37,886.36,691.04,726.34,1075.43,1165.02,1016.66,821.46,730.78,758.14,1054.97,1433.1,937.39,1044.54,1372.24,1047.78,1106.84,1702.54,1792.11,1921.98,1718.88,1789.04,1662.52,2329.62,2508.82,2865.99,2522.35,2688.03,2688.02,3583.91,3583.93,2156.93,2768.5,2933.99,3127.16,3468.84,3500.82,3241.77,2812.28,705.71,891.25,802.06,0,0,99.62,113.13,160.26,232.34,203.91,251.08,211.07,233.27,0,0,91.69,100.25,255.76,328.49,358.7,269.14,439.81,429.71,559.47,1254.61,1504.2,0,0,391.18,419.03,447.35,304.3,485.41,1062.69,1792.12,686.61,1090.57,1774.17,2267.65,2759.78,2774.85,2627.38,2240.07,2150.48,1344.2,1344.2,0,0,506.59,745.15,1995.31,2688.02,2467.07,2630.27,2507.92,1523.37,0,
1,0,106.47,139.03,134.73,90.87,145,161.21,102.4,167.3,170.39,130.39,135.42,155.95,185.68,199.86,290.41,286.43,265.88,292.13,295.87,268.24,369.12,327.28,380.75,304.81,303.56,269.52,299.02,320.54,310.46,314.91,364.99,330.42,495.08,373.8,444.23,484.99,768.2,597.53,535.95,567.42,605.11,969.92,491.26,519.51,508.73,475.88,550.59,491.79,844.15,658.13,691.75,1024.22,1109.54,968.25,782.34,695.98,722.04,1004.73,1364.86,892.75,994.8,1306.89,997.89,1054.13,1621.46,1706.77,1830.45,1637.03,1703.85,1583.36,2218.69,2389.35,2729.52,2402.24,2560.03,2560.02,3413.25,3413.26,2054.22,2636.67,2794.28,2978.25,3303.66,3334.12,3087.4,2678.36,672.11,848.81,763.86,0,0,94.88,107.75,152.63,221.28,194.2,239.13,201.02,222.16,0,0,87.32,95.48,243.58,312.85,341.62,256.33,418.87,409.24,532.83,1194.86,1432.57,0,0,372.55,399.07,426.05,289.81,462.3,1012.08,1706.79,653.92,1038.64,1689.69,2159.66,2628.36,2642.71,2502.27,2133.4,2048.08,1280.19,1280.19,0,0,482.47,709.67,1900.3,2560.02,2349.59,2505.02,2388.5,1450.83,0,
