$NML Br1 inflow year 2005 sum of NF MF Collierville PH Stanislaus PH YC 02/02/2023 ,
",,,",
Jday,Flow
1.000,22.3004
1.042,22.3004
1.083,22.3004
1.125,22.3004
1.167,22.3004
1.208,22.3004
1.250,22.3004
1.292,22.3004
1.333,22.3004
1.375,22.3004
1.417,22.3004
1.458,22.3004
1.500,22.3004
1.542,22.3004
1.583,22.3004
1.625,22.3004
1.667,22.3004
1.708,22.3004
1.750,22.3004
1.792,22.3004
1.833,22.3004
1.875,22.3004
1.917,22.3004
1.958,22.3004
2.000,21.791
2.042,21.791
2.083,21.791
2.125,21.791
2.167,21.791
2.208,21.791
2.250,21.791
2.292,21.791
2.333,21.791
2.375,21.791
2.417,21.791
2.458,21.791
2.500,21.791
2.542,21.791
2.583,21.791
2.625,21.791
2.667,21.791
2.708,21.791
2.750,21.791
2.792,21.791
2.833,21.791
2.875,21.791
2.917,21.791
2.958,21.791
3.000,19.3572
3.042,19.3572
3.083,19.3572
3.125,19.3572
3.167,19.3572
3.208,19.3572
3.250,19.3572
3.292,19.3572
3.333,19.3572
3.375,19.3572
3.417,19.3572
3.458,19.3572
3.500,19.3572
3.542,19.3572
3.583,19.3572
3.625,19.3572
3.667,19.3572
3.708,19.3572
3.750,19.3572
3.792,19.3572
3.833,19.3572
3.875,19.3572
3.917,19.3572
3.958,19.3572
4.000,19.3855
4.042,19.3855
4.083,19.3855
4.125,19.3855
4.167,19.3855
4.208,19.3855
4.250,19.3855
4.292,19.3855
4.333,19.3855
4.375,19.3855
4.417,19.3855
4.458,19.3855
4.500,19.3855
4.542,19.3855
4.583,19.3855
4.625,19.3855
4.667,19.3855
4.708,19.3855
4.750,19.3855
4.792,19.3855
4.833,19.3855
4.875,19.3855
4.917,19.3855
4.958,19.3855
5.000,17.4894
5.042,17.4894
5.083,17.4894
5.125,17.4894
5.167,17.4894
5.208,17.4894
5.250,17.4894
5.292,17.4894
5.333,17.4894
5.375,17.4894
5.417,17.4894
5.458,17.4894
5.500,17.4894
5.542,17.4894
5.583,17.4894
5.625,17.4894
5.667,17.4894
5.708,17.4894
5.750,17.4894
5.792,17.4894
5.833,17.4894
5.875,17.4894
5.917,17.4894
5.958,17.4894
6.000,11.8011
6.042,11.8011
6.083,11.8011
6.125,11.8011
6.167,11.8011
6.208,11.8011
6.250,11.8011
6.292,11.8011
6.333,11.8011
6.375,11.8011
6.417,11.8011
6.458,11.8011
6.500,11.8011
6.542,11.8011
6.583,11.8011
6.625,11.8011
6.667,11.8011
6.708,11.8011
6.750,11.8011
6.792,11.8011
6.833,11.8011
6.875,11.8011
6.917,11.8011
6.958,11.8011
7.000,12.7633
7.042,12.7633
7.083,12.7633
7.125,12.7633
7.167,12.7633
7.208,12.7633
7.250,12.7633
7.292,12.7633
7.333,12.7633
7.375,12.7633
7.417,12.7633
7.458,12.7633
7.500,12.7633
7.542,12.7633
7.583,12.7633
7.625,12.7633
7.667,12.7633
7.708,12.7633
7.750,12.7633
7.792,12.7633
7.833,12.7633
7.875,12.7633
7.917,12.7633
7.958,12.7633
8.000,16.2725
8.042,16.2725
8.083,16.2725
8.125,16.2725
8.167,16.2725
8.208,16.2725
8.250,16.2725
8.292,16.2725
8.333,16.2725
8.375,16.2725
8.417,16.2725
8.458,16.2725
8.500,16.2725
8.542,16.2725
8.583,16.2725
8.625,16.2725
8.667,16.2725
8.708,16.2725
8.750,16.2725
8.792,16.2725
8.833,16.2725
8.875,16.2725
8.917,16.2725
8.958,16.2725
9.000,18.9327
9.042,18.9327
9.083,18.9327
9.125,18.9327
9.167,18.9327
9.208,18.9327
9.250,18.9327
9.292,18.9327
9.333,18.9327
9.375,18.9327
9.417,18.9327
9.458,18.9327
9.500,18.9327
9.542,18.9327
9.583,18.9327
9.625,18.9327
9.667,18.9327
