$NML Br1 inflow Tw year 2005 gap filled with dly averaged filled Tw YC 02/02/2023,
",,,",
Jday,Tw (deg C)
1.000,5.852628842
1.042,5.852628842
1.083,5.852628842
1.125,5.852628842
1.167,5.852628842
1.208,5.852628842
1.250,5.852628842
1.292,5.752933411
1.333,5.752933411
1.375,5.752933411
1.417,5.659468944
1.458,5.646905492
1.500,5.659468944
1.542,5.659468944
1.583,5.659468944
1.625,5.672869959
1.667,5.766334426
1.708,5.766334426
1.750,5.866029858
1.792,5.866029858
1.833,5.866029858
1.875,5.866029858
1.917,5.959494325
1.958,5.959494325
2.000,5.970881494
2.042,5.970881494
2.083,5.970881494
2.125,5.970881494
2.167,5.970881494
2.208,5.867362013
2.250,5.867362013
2.292,5.957167208
2.333,5.867362013
2.375,5.867362013
2.417,5.867362013
2.458,5.867362013
2.500,5.881076299
2.542,5.881076299
2.583,5.893933442
2.625,5.893933442
2.667,5.997452922
2.708,5.997452922
2.750,5.997452922
2.792,5.997452922
2.833,5.997452922
2.875,6.011167208
2.917,6.09324513
2.958,6.106959416
3.000,6.277963504
3.042,6.262524908
3.083,6.262524908
3.125,6.15351906
3.167,6.15351906
3.208,6.15351906
3.250,6.15351906
3.292,6.15351906
3.333,6.15351906
3.375,6.138080464
3.417,6.035887481
3.458,6.035887481
3.500,6.035887481
3.542,6.035887481
3.583,6.035887481
3.625,6.051326078
3.667,6.051326078
3.708,6.051326078
3.750,6.15351906
3.792,6.15351906
3.833,6.15351906
3.875,6.138080464
3.917,6.138080464
3.958,6.138080464
4.000,6.200783455
4.042,6.200783455
4.083,6.095440389
4.125,6.095440389
4.167,6.080987835
4.208,6.080987835
4.250,6.080987835
4.292,6.080987835
4.333,5.966812652
4.375,5.966812652
4.417,5.966812652
4.458,5.966812652
4.500,5.966812652
4.542,5.966812652
4.583,5.966812652
4.625,5.98222871
4.667,5.98222871
4.708,5.98222871
4.750,5.98222871
4.792,5.98222871
4.833,5.98222871
4.875,5.98222871
4.917,5.98222871
4.958,5.98222871
5.000,5.889052349
5.042,5.889052349
5.083,5.889052349
5.125,5.889052349
