Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
 63,  1,       12467.21,   710812.51704,  4194872.47061, 10,   102.440
 62,  1,       12192.46,   711002.06699,  4195070.69933, 10,   102.440
 61,  1,       11929.96,   711162.64011,  4195278.12554, 10,   102.440
 60,  1,       11642.46,   711315.33388,  4195521.12783, 10,   102.440
 59,  1,       11392.46,   711350.44940,  4195745.22481, 10,   108.440
 58,  1,       11167.46,   711260.22023,  4195951.25213, 10,   108.440
 57,  1,       10917.46,   711258.91587,  4196178.38102, 10,   110.440
 56,  1,       10667.46,   711435.45230,  4196289.17026, 10,   110.440
 55,  1,       10404.96,   711682.67358,  4196349.01540, 10,   111.440
 54,  1,       10104.96,   711891.45686,  4196549.48499, 10,   111.440
 53,  1,        9809.50,   712008.46189,  4196816.45640, 10,   111.440
 52,  1,        9501.54,   712208.74660,  4196988.20636, 10,   113.440
 51,  1,        9126.54,   712578.48341,  4197035.71293, 10,   113.440
 50,  1,        8763.81,   712917.03381,  4196955.65569, 10,   114.440
 49,  1,        8437.96,   713218.63390,  4196863.55355, 10,   115.440
 48,  1,        8126.17,   713502.56708,  4196943.12569, 10,   115.440
 47,  1,        7829.55,   713694.94183,  4197159.13248, 10,   115.440
 46,  1,        7580.81,   713834.83440,  4197362.66984, 10,   115.440
 45,  1,        7385.55,   713905.23913,  4197531.08222, 10,   117.440
 44,  1,        7215.84,   713949.54612,  4197687.71184, 10,   118.440
 43,  1,        7035.75,   714060.23668,  4197829.41554, 10,   120.440
 42,  1,        6805.98,   714151.74632,  4198031.69489, 10,   124.440
 41,  1,        6552.68,   714211.31115,  4198277.56415, 10,   124.440
 40,  1,        6273.87,   714256.96299,  4198550.83260, 10,   127.440
 39,  1,        6000.59,   714249.85651,  4198822.72117, 10,   127.440
 38,  1,        5791.65,   714253.27309,  4199028.25584, 10,   127.440
 37,  1,        5584.79,   714381.66325,  4199164.87968, 10,   128.440
 36,  1,        5332.23,   714616.86022,  4199254.33531, 10,   131.440
 35,  1,        5103.75,   714821.13661,  4199348.53718, 10,   131.440
 34,  1,        4920.21,   714945.26718,  4199479.50298, 10,   132.440
 33,  1,        4759.07,   715007.41394,  4199625.50215, 10,   135.440
 32,  1,        4572.13,   715082.16207,  4199794.04328, 10,   137.440
 31,  1,        4369.56,   715214.63680,  4199941.88944, 10,   137.440
 30,  1,        4200.31,   715367.02262,  4200001.41924, 10,   138.440
 29,  1,        4038.77,   715525.69883,  4199988.93340, 10,   138.440
 28,  1,        3857.43,   715668.98684,  4199892.75784, 10,   138.440
 27,  1,        3630.29,   715859.75176,  4199831.15465, 10,   140.440
 26,  1,        3309.05,   716070.30604,  4200019.94344, 10,   141.440
 25,  1,        3007.75,   716212.87214,  4200284.67912, 10,   143.440
 24,  1,        2753.67,   716356.89153,  4200493.93062, 10,   143.440
 23,  1,        2478.79,   716455.93063,  4200740.86374, 10,   144.440
 22,  1,        2257.73,   716428.38566,  4200951.13620, 10,   144.440
 21,  1,        2055.22,   716327.00468,  4201126.14320, 10,   145.440
 20,  1,        1861.32,   716234.56363,  4201295.83468, 10,   145.440
 19,  1,        1704.38,   716186.65757,  4201444.49116, 10,   146.440
 18,  1,        1564.27,   716174.20411,  4201582.97906, 10,   146.440
 17,  1,        1441.03,   716201.88958,  4201700.31612, 10,   147.440
 16,  1,        1334.97,   716256.67392,  4201790.60641, 10,   148.440
 15,  1,        1225.93,   716324.78715,  4201875.69642, 10,   148.440
 14,  1,        1123.97,   716388.65236,  4201955.12119, 10,   149.440
 13,  1,        1029.08,   716448.26820,  4202028.88179, 10,   149.440
 12,  1,         937.57,   716476.97597,  4202107.37820, 10,   150.440
 11,  1,         848.51,   716470.23186,  4202196.04296, 10,   150.440
 10,  1,         747.83,   716476.37871,  4202296.15366, 10,   151.440
  9,  1,         650.14,   716509.18637,  4202385.86439, 10,   152.440
  8,  1,         556.22,   716559.86197,  4202464.94278, 10,   152.440
  7,  1,         466.78,   716610.68260,  4202538.47332, 10,   153.440
  6,  1,         378.96,   716679.81256,  4202584.72770, 10,   153.440
  5,  1,         292.53,   716762.71248,  4202609.13714, 10,   153.440
  4,  1,         197.54,   716854.40112,  4202633.77681, 10,   153.440
  3,  1,         102.54,   716946.08961,  4202658.41643, 10,   153.440
  2,  1,          30.73,   716997.78748,  4202698.65713, 10,   153.440
103,  2,       17735.96,   712213.26212,  4197021.44861, 10,   118.440
102,  2,       17485.94,   712124.86269,  4197241.40891, 10,   120.440
101,  2,       17295.66,   711952.09792,  4197286.90766, 10,   120.440
100,  2,       17114.80,   711809.82670,  4197344.30203, 10,   121.440
 99,  2,       16984.74,   711762.70521,  4197465.23772, 10,   123.440
 98,  2,       16821.00,   711650.21048,  4197562.27730, 10,   124.440
 97,  2,       16623.04,   711489.07455,  4197669.17018, 10,   125.440
 96,  2,       16419.04,   711353.17968,  4197821.13777, 10,   126.440
 95,  2,       16223.42,   711230.47920,  4197973.44732, 10,   127.440
 94,  2,       16026.96,   711086.37365,  4198102.99969, 10,   128.440
 93,  2,       15846.51,   710964.39077,  4198227.56736, 10,   129.440
 92,  2,       15699.76,   710899.41331,  4198359.15067, 10,   130.440
 91,  2,       15518.27,   710917.25116,  4198520.62717, 10,   131.440
 90,  2,       15334.72,   710987.69799,  4198689.01204, 10,   131.440
 89,  2,       15188.83,   710971.07789,  4198821.84131, 10,   133.440
 88,  2,       15049.98,   710901.99596,  4198942.21468, 10,   135.440
 87,  2,       14912.07,   710916.72033,  4199053.64356, 10,   136.440
 86,  2,       14752.92,   711032.68909,  4199162.12590, 10,   136.440
 85,  2,       14571.78,   711147.94302,  4199298.35094, 10,   139.440
 84,  2,       14413.70,   711149.05372,  4199426.08618, 10,   140.440
 83,  2,       14283.38,   711041.84712,  4199489.95373, 10,   140.440
 82,  2,       14143.03,   710904.72838,  4199519.73289, 10,   141.440
 81,  2,       14016.49,   710828.29291,  4199584.39082, 10,   142.440
 80,  2,       13911.08,   710865.56820,  4199674.18942, 10,   144.440
 79,  2,       13824.89,   710890.22701,  4199741.45405, 10,   144.440
 78,  2,       13742.45,   710835.91399,  4199801.13459, 10,   144.440
 77,  2,       13649.63,   710755.65736,  4199843.49123, 10,   145.440
 76,  2,       13559.85,   710667.60868,  4199846.77929, 10,   145.440
 75,  2,       13475.76,   710596.71441,  4199867.16616, 10,   145.440
 74,  2,       13395.95,   710572.88534,  4199938.73557, 10,   146.440
 73,  2,       13302.00,   710548.62826,  4200026.95057, 10,   147.440
 72,  2,       13205.49,   710498.14103,  4200108.93808, 10,   147.440
 71,  2,       13119.61,   710435.18223,  4200162.84447, 10,   147.440
 70,  2,       13036.73,   710355.64276,  4200177.45918, 10,   148.440
 69,  2,       12947.42,   710281.78041,  4200142.24748, 10,   148.440
 68,  2,       12855.05,   710208.34464,  4200090.39153, 10,   148.440
 67,  2,       12762.67,   710124.69492,  4200093.79963, 10,   149.440
 66,  2,       12667.13,   710050.38022,  4200151.68981, 10,   150.440
121,  3,       19700.91,   713661.51094,  4196750.10937, 10,   120.440
120,  3,       19533.46,   713754.19310,  4196616.07760, 10,   122.440
119,  3,       19390.62,   713836.24435,  4196507.17056, 10,   123.440
118,  3,       19255.85,   713939.70319,  4196421.03273, 10,   125.440
117,  3,       19150.80,   714012.09189,  4196345.18883, 10,   126.440
116,  3,       19040.11,   714080.37188,  4196258.13118, 10,   126.440
115,  3,       18910.03,   714170.78618,  4196166.10050, 10,   128.440
114,  3,       18792.65,   714273.09133,  4196124.35358, 10,   130.440
113,  3,       18694.62,   714370.12805,  4196115.78191, 10,   132.440
112,  3,       18596.52,   714454.84213,  4196073.57432, 10,   133.440
111,  3,       18498.49,   714522.69096,  4196003.16379, 10,   134.440
110,  3,       18386.40,   714599.62784,  4195921.88761, 10,   136.440
109,  3,       18269.31,   714668.06520,  4195829.28679, 10,   139.440
108,  3,       18166.96,   714710.11778,  4195735.99579, 10,   140.440
107,  3,       18073.80,   714769.03311,  4195670.90732, 10,   141.440
106,  3,       17969.23,   714859.93436,  4195619.30508, 10,   143.440
