$Tulloch dam release year 2005 YC 04/11/2023,,
",,,",,
Jday,spillway,low outlet
1,0.001,6.088064562
2,0.001,5.932323375
3,0.001,5.776582189
4,0.001,6.541129832
5,0.001,6.711029308
6,0.001,6.654396149
7,0.001,6.484496673
8,0.001,6.399546935
9,0.001,6.399546935
10,0.001,6.003114824
11,0.001,5.946481665
12,0.001,6.314597197
13,0.001,6.512813252
14,0.001,6.739345887
15,0.001,6.909245363
16,0.001,6.965878522
17,0.001,6.937561943
18,0.001,6.937561943
19,0.001,6.937561943
20,0.001,6.937561943
21,0.001,6.852612204
22,0.001,6.852612204
23,0.001,6.880928784
24,0.001,6.909245363
25,0.001,6.880928784
26,0.001,6.59776299
27,0.001,6.852612204
28,0.001,6.484496673
29,0.001,6.852612204
30,0.001,6.937561943
31,0.001,7.022511681
32,0.001,7.079144839
33,0.001,7.107461419
34,0.001,6.994195101
35,0.001,6.965878522
36,0.001,6.965878522
37,0.001,6.994195101
38,0.001,6.880928784
39,0.001,6.937561943
40,0.001,7.673793006
41,0.001,8.976355656
42,0.001,8.948039077
43,0.001,8.80645618
44,0.001,8.721506442
45,0.001,8.721506442
46,0.001,8.523290387
47,0.001,7.50389353
48,0.001,6.937561943
49,0.001,6.937561943
50,0.001,6.937561943
51,0.001,6.824295625
52,0.001,6.909245363
53,0.001,7.022511681
54,0.001,7.05082826
55,0.001,7.135777998
56,0.001,7.079144839
57,0.001,7.107461419
58,0.001,6.512813252
59,0.001,6.795979046
60,0.001,6.994195101
61,0.001,6.994195101
62,0.001,6.937561943
63,0.001,6.852612204
64,0.001,7.022511681
65,0.001,7.022511681
66,0.001,6.994195101
67,0.001,6.994195101
68,0.001,6.965878522
69,0.001,7.107461419
70,0.001,7.107461419
71,0.001,7.135777998
72,0.001,7.079144839
73,0.001,7.135777998
74,0.001,7.079144839
75,0.001,7.135777998
76,0.001,7.121619708
77,0.001,7.107461419
78,0.001,6.994195101
79,0.001,6.994195101
80,0.001,11.07178253
81,0.001,12.77077729
82,0.001,8.268441172
83,0.001,8.919722498
84,0.001,16.36698287
85,0.001,16.31034971
86,0.001,16.31034971
87,0.001,15.94223418
88,0.001,16.02718392
89,0.001,10.93019963
90,0.001,7.05082826
91,0.001,7.079144839
92,0.001,7.079144839
93,0.001,6.994195101
94,0.001,15.06442022
95,0.001,23.8708764
96,0.001,26.95738355
97,0.001,26.90075039
98,0.001,25.88135353
99,0.001,25.39997168
100,0.001,25.14512247
101,0.001,24.43720799
102,0.001,23.64434376
103,0.001,23.47444429
104,0.001,23.81424324
105,0.001,26.39105196
106,0.001,28.88291094
107,0.001,33.38524706
108,0.001,35.42404078
109,0.001,35.65057341
110,0.001,36.83986974
111,0.001,38.8220303
112,0.001,40.6059748
113,0.001,40.4643919
114,0.001,38.90698004
115,0.001,37.74600028
116,0.001,40.86082401
117,0.001,42.78635141
118,0.001,42.41823588
119,8.891405918,58.10562084
120,14.29987258,57.96403794
121,16.82004814,57.87908821
122,18.00934447,57.73750531
123,18.43409316,58.53036953
124,17.92439473,60.31431403
125,18.68894238,57.4826561
126,12.09117939,52.30072207
127,5.436783237,52.24408891
128,4.3890698,53.88645052
129,1.529095285,53.74486762
130,0.001,53.26348577
131,3.426306102,53.85813394
132,8.155174855,52.78210392
133,8.070225117,54.33951579
134,8.013591958,55.13238001
135,9.401104347,54.14129973
136,10.5620841,53.97140025
137,13.70522441,53.82981736
138,17.47132946,54.76426448
139,17.61291236,55.10406343
140,18.91547501,53.29180235
141,19.05705791,53.40506867
142,19.17032422,53.03695314
