$Green Spring met year 2006 YC 04/11/2023,,,,,,
",,,",,,,,,
Jday,Tair(degC),Dew point(degC),WindSpeed(cms),WindDir(rad),CloudCover,Solar
1,5.555555556,5.27,0.89408,1.5184371,1,3.99296392
1.041666667,6.111111111,5.82,0.89408,1.4486239,1,4.49208441
1.083333333,6.111111111,4.75,1.78816,2.1816625,1,4.49208441
1.125,6.666666667,4.16,1.34112,1.3613574,1,3.99296392
1.166666667,7.222222222,3.47,1.78816,1.2740909,1,4.49208441
1.208333333,7.777777778,3.63,1.78816,1.3613574,1,4.49208441
1.25,8.888888889,2.24,2.2352,1.4486239,1,4.49208441
1.291666667,9.444444444,2.31,1.78816,1.74533,1,8.48504833
1.333333333,10,-0.21,2.68224,1.7976899,1,27.45162695
1.375,11.66666667,-0.16,4.4704,2.1293026,1,38.93139822
1.416666667,12.77777778,0.53,5.36448,2.2340224,1,36.93491626
1.458333333,11.11111111,2.68,10.28192,2.1467559,1,47.91556704
1.5,12.77777778,2.63,9.83488,2.1642092,1,28.94898842
1.541666667,10,5.78,6.25856,2.4260087,1,26.45338597
1.583333333,8.888888889,5.08,9.38784,1.9896762,1,32.44283185
1.625,10,5.19,7.15264,2.1118493,1,17.46921715
1.666666667,10.55555556,4.7,8.9408,2.1118493,1,6.98768686
1.708333333,10.55555556,5.33,8.9408,2.0594894,1,4.49208441
1.75,12.22222222,5.39,7.59968,2.2165691,1,4.49208441
1.791666667,11.66666667,6.8,9.38784,2.4609153,1,4.9912049
1.833333333,11.11111111,8.69,6.7056,2.5307285,1,4.9912049
1.875,12.22222222,9.24,10.28192,2.2340224,1,4.49208441
1.916666667,12.22222222,8.69,8.49376,2.3038356,1,4.49208441
1.958333333,12.22222222,9.6,6.25856,2.5132752,1,4.49208441
2,12.77777778,9.23,7.15264,2.268929,0,4.9912049
2.041666667,11.11111111,10.96,6.25856,2.3736488,0,4.49208441
2.083333333,10.55555556,10.41,4.4704,3.4557534,0,4.49208441
2.125,10.55555556,10.41,3.12928,3.2288605,0,4.49208441
2.166666667,10,9.85,0,1.919863,0,4.49208441
2.208333333,10,9.85,0.44704,0.872665,0,4.49208441
2.25,10,9.85,0.44704,1.4311706,0,4.49208441
2.291666667,9.444444444,9.29,0,1.8849564,0,4.9912049
2.333333333,9.444444444,9.29,0.44704,0.7679452,0,10.98065078
2.375,9.444444444,9.29,0.44704,3.1590473,0,39.9296392
2.416666667,9.444444444,9.29,0.89408,3.9269925,0,72.87159154
2.458333333,9.444444444,9.29,1.34112,1.9024097,0,43.92260312
2.5,9.444444444,9.29,0.89408,4.9916438,0,99.824098
2.541666667,9.444444444,9.29,1.78816,2.9147011,0,68.87862762
2.583333333,10,9.85,3.57632,2.3038356,0,41.42700067
2.625,10,9.85,1.78816,1.9547696,0,11.97889176
2.666666667,9.444444444,8.52,0.44704,1.7802366,0,5.98944588
2.708333333,8.333333333,8.18,3.12928,4.7822042,0,4.49208441
2.75,8.333333333,7.88,2.68224,5.6897758,0,3.99296392
2.791666667,8.333333333,8.18,0.89408,0,0,3.99296392
2.833333333,8.333333333,8.18,0.89408,5.0789103,0,3.99296392
2.875,8.333333333,8.18,1.78816,5.4803362,0,4.49208441
2.916666667,8.333333333,8.18,0.44704,5.3930697,0,3.99296392
2.958333333,8.333333333,8.18,0,0.2268929,0,3.99296392
3,8.333333333,8.18,0.44704,1.3613574,0,3.49384343
3.041666667,7.777777778,7.63,0,1.3264508,0,3.49384343
3.083333333,6.666666667,6.52,0,1.919863,0,3.49384343
3.125,6.111111111,5.96,1.34112,1.396264,0,3.49384343
3.166666667,7.222222222,7.07,1.34112,2.0245828,0,3.99296392
3.208333333,7.222222222,7.07,1.34112,2.1467559,0,3.49384343
3.25,6.666666667,6.38,0.89408,2.0071295,0,3.99296392
3.291666667,5.555555556,5.42,0,1.7278767,0,26.45338597
3.333333333,5,4.86,0,1.570797,0,136.2598938
3.375,8.333333333,6.95,0,1.3264508,0,170.6992076
3.416666667,9.444444444,6.7,0.89408,0.9948381,0,257.0470524
3.458333333,10.55555556,7.08,1.34112,1.396264,0,333.4124873
3.5,11.66666667,6.6,1.78816,1.5882503,0,306.9591014
3.541666667,13.33333333,5.74,1.78816,1.4835305,0,135.2616528
3.583333333,11.11111111,6.85,4.91744,2.617995,0,76.86455546
3.625,10.55555556,7.44,3.12928,2.8797945,0,51.90853096
3.666666667,10.55555556,7.8,0.89408,1.7802366,0,11.47977127
3.708333333,10.55555556,7.97,2.68224,2.2165691,0,4.49208441
3.75,10,7.25,1.78816,2.4260087,0,4.49208441
3.791666667,9.444444444,7.39,0.89408,2.1118493,0,3.99296392
3.833333333,9.444444444,7.39,0.89408,1.4311706,0,4.49208441
3.875,9.444444444,5.62,0,1.4311706,0,4.49208441
3.916666667,9.444444444,6.35,0.44704,2.0420361,0,4.49208441
3.958333333,9.444444444,6.53,0,1.6057036,0,4.49208441
4,8.888888889,5.81,0.89408,1.4486239,0,4.49208441
4.041666667,9.444444444,4.45,0,1.7627833,0,4.49208441
4.083333333,9.444444444,3.42,0,1.6057036,0,4.49208441
4.125,8.333333333,3.98,1.78816,1.0297447,0,4.49208441
4.166666667,7.777777778,2.46,0.44704,3.3335803,0,3.99296392
4.208333333,6.666666667,2.56,0,5.8119489,0,3.99296392
4.25,6.111111111,2.75,0,5.934122,0,3.99296392
4.291666667,5.555555556,3.08,0,1.4835305,0,31.44459087
4.333333333,7.222222222,4.18,0.44704,1.2740909,0,94.8328931
4.375,10,4.99,0.89408,4.3284184,0,183.1772198
4.416666667,11.11111111,6.66,0,4.9567372,0,301.9678965
