$Tulloch branch 1 inflow year 2006 YC 04/11/2023,
",,,",
Jday,Inflow
1,49.07263203
1.041666667,119.4676483
1.083333333,122.6391052
1.125,122.7806881
1.166666667,122.8656378
1.208333333,122.8373213
1.25,122.8656378
1.291666667,122.9789041
1.333333333,122.922271
1.375,122.7806881
1.416666667,122.7523715
1.458333333,122.8939544
1.5,122.6957384
1.541666667,122.8090047
1.583333333,122.7523715
1.625,122.8373213
1.666666667,122.7806881
1.708333333,122.7806881
1.75,122.8656378
1.791666667,122.7806881
1.833333333,122.6107886
1.875,122.6391052
1.916666667,122.7806881
1.958333333,122.8939544
2,122.8090047
2.041666667,122.8090047
2.083333333,122.6107886
2.125,122.8090047
2.166666667,122.4692057
2.208333333,122.6391052
2.25,122.6674218
2.291666667,122.8373213
2.333333333,122.7240549
2.375,122.6674218
2.416666667,122.8090047
2.458333333,122.6957384
2.5,122.7523715
2.541666667,122.4692057
2.583333333,118.3916183
2.625,38.51054793
2.666666667,35.08424182
2.708333333,35.79215631
2.75,35.2541413
2.791666667,35.2541413
2.833333333,35.2541413
2.875,35.14087498
2.916666667,35.1125584
2.958333333,34.5745434
3,3.482939261
3.041666667,0.821180801
3.083333333,0.821180801
3.125,0.821180801
3.166666667,0.821180801
3.208333333,0.821180801
3.25,0.821180801
3.291666667,0.821180801
3.333333333,0.821180801
3.375,0.821180801
3.416666667,0.821180801
3.458333333,90.24493841
3.5,124.3381
3.541666667,234.3196942
3.583333333,239.0485629
3.625,238.90698
3.666666667,216.8483647
3.708333333,172.1931191
3.75,172.3063854
3.791666667,171.9382699
3.833333333,172.8160838
3.875,172.3630185
3.916666667,171.796687
3.958333333,172.4479683
4,172.9293501
4.041666667,172.3063854
4.083333333,172.2780688
4.125,172.3913351
4.166666667,171.7117372
4.208333333,172.3913351
4.25,172.872717
4.291666667,172.5895512
4.333333333,172.5612346
4.375,171.9099533
4.416666667,172.9010336
4.458333333,166.2183208
4.5,163.1884468
4.541666667,163.1034971
4.583333333,163.1884468
4.625,163.0185474
4.666666667,163.0185474
4.708333333,163.24508
4.75,163.1318137
4.791666667,162.5371655
4.833333333,163.3017132
4.875,162.4238992
4.916666667,163.6131955
4.958333333,162.5937987
5,163.0468639
5.041666667,163.1884468
5.083333333,163.24508
5.125,163.2733966
5.166666667,163.24508
5.208333333,163.1601303
5.25,163.0468639
5.291666667,163.1884468
5.333333333,163.3866629
5.375,163.0468639
5.416666667,163.6981453
5.458333333,162.707065
5.5,163.3300297
5.541666667,163.1884468
5.583333333,163.1601303
5.625,163.2167634
5.666666667,163.1884468
5.708333333,163.2733966
5.75,163.2733966
5.791666667,163.2733966
5.833333333,162.905281
