$Tulloch Br1 inflow Tw year 2006 YC 04/11/2023,
",,,",
Jday,Inflow Tw
1,10.149
1.041666667,10.222
1.083333333,10.271
1.125,10.271
1.166666667,10.247
1.208333333,10.247
1.25,10.222
1.291666667,10.173
1.333333333,10.1
1.375,10.051
1.416666667,9.977
1.458333333,9.903
1.5,9.854
1.541666667,9.805
1.583333333,9.879
1.625,9.903
1.666666667,9.879
1.708333333,9.928
1.75,9.928
1.791666667,9.952
1.833333333,9.952
1.875,10.001
1.916666667,10.051
1.958333333,10.124
2,10.051
2.041666667,9.977
2.083333333,9.928
2.125,9.903
2.166666667,9.903
2.208333333,9.879
2.25,9.928
2.291666667,9.952
2.333333333,9.977
2.375,10.051
2.416666667,10.075
2.458333333,10.124
2.5,10.173
2.541666667,10.222
2.583333333,10.247
2.625,10.345
2.666666667,10.296
2.708333333,10.247
2.75,10.222
2.791666667,10.198
2.833333333,10.1
2.875,10.075
2.916666667,10.075
2.958333333,10.1
3,10.1
3.041666667,10.198
3.083333333,10.222
3.125,10.443
3.166666667,10.394
3.208333333,10.663
3.25,10.736
3.291666667,10.663
3.333333333,10.614
3.375,10.712
3.416666667,10.858
3.458333333,10.173
3.5,10.198
3.541666667,10.075
3.583333333,10.075
3.625,10.1
3.666666667,10.051
3.708333333,10.075
3.75,10.075
3.791666667,10.075
3.833333333,10.075
3.875,10.1
3.916666667,10.075
3.958333333,10.051
4,10.051
4.041666667,10.051
4.083333333,10.075
4.125,10.051
4.166666667,10.051
4.208333333,10.051
4.25,10.051
4.291666667,10.051
4.333333333,10.051
4.375,10.051
4.416666667,10.026
4.458333333,10.026
4.5,10.001
4.541666667,10.001
4.583333333,10.001
4.625,9.977
4.666666667,9.977
4.708333333,9.977
4.75,9.977
4.791666667,9.952
4.833333333,9.928
4.875,9.952
4.916666667,9.928
4.958333333,9.903
5,9.903
5.041666667,9.879
5.083333333,9.854
5.125,9.854
5.166666667,9.854
5.208333333,9.879
5.25,9.879
5.291666667,9.879
