$used Ripon Tw  for Tulloch qdt Tw year 2006  YC 04/10/2023,
",,,",
Jday,Inflow Tw
1,11.127
1.041666667,11.127
1.083333333,11.127
1.125,11.102
1.166666667,11.102
1.208333333,11.102
1.25,11.078
1.291666667,11.053
1.333333333,11.053
1.375,11.053
1.416666667,11.029
1.458333333,11.029
1.5,11.005
1.541666667,11.005
1.583333333,11.005
1.625,10.98
1.666666667,10.98
1.708333333,10.956
1.75,10.956
1.791666667,10.932
1.833333333,10.932
1.875,10.907
1.916666667,10.883
1.958333333,10.858
2,10.858
2.041666667,10.834
2.083333333,10.834
2.125,10.81
2.166666667,10.81
2.208333333,10.81
2.25,10.785
2.291666667,10.785
2.333333333,10.785
2.375,10.785
2.416666667,10.785
2.458333333,10.785
2.5,10.785
2.541666667,10.785
2.583333333,10.785
2.625,10.785
2.666666667,10.785
2.708333333,10.785
2.75,10.81
2.791666667,10.81
2.833333333,10.81
2.875,10.81
2.916666667,10.81
2.958333333,10.81
3,10.81
3.041666667,10.81
3.083333333,10.81
3.125,10.81
3.166666667,10.785
3.208333333,10.785
3.25,10.761
3.291666667,10.761
3.333333333,10.736
3.375,10.712
3.416666667,10.712
3.458333333,10.712
3.5,10.712
3.541666667,10.712
3.583333333,10.761
3.625,10.761
3.666666667,10.785
3.708333333,10.712
3.75,10.712
3.791666667,10.712
3.833333333,10.712
3.875,10.687
3.916666667,10.687
3.958333333,10.687
4,10.663
4.041666667,10.663
4.083333333,10.638
4.125,10.638
4.166666667,10.59
4.208333333,10.565
4.25,10.565
4.291666667,10.541
4.333333333,10.516
4.375,10.541
4.416666667,10.565
4.458333333,10.614
4.5,10.736
4.541666667,10.81
4.583333333,10.883
4.625,10.907
4.666666667,10.883
4.708333333,10.834
4.75,10.81
4.791666667,10.785
4.833333333,10.761
4.875,10.712
4.916666667,10.687
4.958333333,10.663
5,10.638
5.041666667,10.614
5.083333333,10.59
5.125,10.565
5.166666667,10.541
5.208333333,10.516
5.25,10.492
5.291666667,10.467
