$Tulloch distributed tributary year 2006 YC 04/11/2023,
",,,",
Jday,qdt
1,5.261012003
2,37.38747699
3,51.1438833
4,5.54277685
5,-3.765768032
6,-4.51845835
7,30.17364913
8,10.58214037
9,12.59859643
10,24.39003859
11,-4.560601255
12,11.3123589
13,18.49140624
14,3.976077079
15,8.629504106
16,9.5392226
17,3.83595473
18,17.09201948
19,-10.73469397
20,3.95606178
21,5.37476813
22,1.033514179
23,-2.572103712
24,0.170380321
25,-1.349902103
26,1.38980051
27,-15.31926878
28,-8.571663232
29,6.3098758
30,-3.297867798
31,0.054284335
32,-0.047773242
33,1.008071586
34,-1.527243452
35,-2.226226845
36,-3.290569449
37,33.50087473
38,-18.38925727
39,-7.226622763
40,-8.48553462
41,-12.51165302
42,-3.065555474
43,0.317725709
44,5.399027142
45,-5.79073884
46,-13.35481198
47,6.886509316
48,-6.888007273
49,1.537353304
50,2.041909154
51,1.932608835
52,-4.688843071
53,0.5076946
54,-3.2780413
55,-4.022066135
56,-5.003639533
57,2.212488949
58,3.838214427
59,5.463075278
60,0.351630301
61,7.953483136
62,11.59674187
63,-0.648929476
64,15.6047956
65,9.469541324
66,-0.115831097
67,3.201673874
68,5.580240274
69,7.820870908
70,8.308596948
71,4.638021366
72,10.53364101
73,12.98665581
74,3.940721011
75,0.923830368
76,2.895372533
77,15.6732234
78,3.502285746
79,9.994183221
80,-11.04700618
81,5.774222802
82,10.0606391
83,29.18849403
84,9.777062383
85,8.378239537
86,4.250681106
87,9.194623717
88,41.89564733
89,11.36202894
90,2.724288939
91,41.78907707
92,12.51470435
93,48.39028876
94,79.78706195
95,61.61158197
96,18.19141933
97,27.05017803
98,-2.987116908
99,6.594684362
100,5.344458191
101,-0.556787851
102,4.05612584
103,3.937822521
104,9.932670602
105,-0.65090278
106,4.517952842
107,17.07411287
108,9.33168867
109,10.04411848
110,0.281387368
111,1.773216215
112,-6.07510741
113,-6.965812646
114,0.936943194
115,51.69666651
116,-82.024798
117,2.458836739
118,-15.44670289
119,-9.856504423
120,-10.04551352
121,-10.52786233
122,14.99010788
123,-14.05449073
124,-2.426992714
125,-4.723791519
126,-15.74610902
127,-5.128079284
128,1.232960236
129,-12.83571708
130,-4.99233484
131,-5.338849495
132,-4.634332547
133,7.783445027
134,-21.06875914
135,2.688673114
136,-4.60573269
137,-18.53320643
138,-0.048373501
139,9.911504557
140,-10.93769619
141,3.431658353
142,-4.54129703
143,-10.78748342
144,7.66014355
145,11.34194564
146,4.503515648
147,-9.080033117
148,-0.446484769
149,-13.97068021
150,1.781482203
151,4.89103232
152,-15.74881424
153,4.492866778
154,10.12317909
155,14.17471657
156,-13.78791996
157,0.862569197
158,-11.61687668
159,11.28345698
160,-4.650742746
161,1.479173111
162,4.676957973
163,-1.728490543
164,-8.4902511
165,-0.855387491
166,6.921619905
167,3.371214606
168,11.60507843
169,-11.26881873
170,1.16452162
171,14.97511258
172,7.459061568
173,4.826806427
174,-10.08070356
175,11.81800883
176,1.769214223
177,-2.976818423
178,5.339390979
179,2.662938973
180,-0.046581667
181,2.431662327
182,5.290472389
183,-2.289584006
184,0.06017437
185,5.295199357
186,-2.057451691
187,1.612894201
188,2.34285648
189,2.968313622
190,5.529998532
191,-7.548749417
192,6.865918359
193,1.57687263
194,9.297402743
195,1.448865633
196,1.839317762
197,3.760065094
198,1.915969077
199,4.465758242
200,-10.25531985
201,13.75477842
202,0.227176334
203,1.965893344
204,-1.768605697
205,3.690711493
206,-8.368714965
207,10.60709878
208,-0.225844175
209,-0.310732998
210,-0.75304436
211,-23.60626158
212,0.136869038
213,5.400200772
214,-0.330348504
215,2.121371611
216,-3.068616997
217,0.565150746
218,7.311560375
219,-3.539580285
220,9.56804036
221,3.123469963
222,4.059890876
223,-6.371231011
224,12.53562901
225,3.176734359
226,-1.852391637
227,10.79998261
228,2.389204829
229,-0.288251375
230,-0.094134037
231,-19.99733741
232,-0.247611906
233,11.73607113
234,1.19519136
235,-7.811846162
236,0.390545933
237,-0.048205198
238,15.79105609
239,-2.023678583
240,2.874095115
241,-2.542906
242,-4.49525599
243,4.088215977
244,6.112831737
245,-1.303760206
246,11.26410225
247,-6.73711694
248,0.380047124
249,25.49201368
250,-21.8218662
251,1.496936455
252,3.491330997
253,-5.851937719
254,16.71233158
255,-2.89286699
256,-0.680256789
257,-0.15154038
258,6.675638827
259,-0.855567084
260,4.92749754
261,1.846144918
262,0.60618825
263,6.00708777
264,11.7549164
265,-5.814816094
266,4.441285596
267,0.083766931
268,2.324671937
269,1.822863409
270,0.224029554
271,1.879819796
272,2.024637262
273,1.275156216
274,5.26828569
275,3.497743006
276,-3.440458493
277,1.79929805
278,5.313285738
279,0.930439945
280,3.06334157
281,5.05957318
282,8.989398136
283,3.056794083
284,2.262631093
285,-7.99308703
286,-13.49993183
287,14.39926123
288,33.66959206
289,-29.18407245
290,5.132380336
291,-16.01774112
292,9.061311621
293,2.856506872
294,1.748813721
295,-0.619674566
296,9.11321814
297,-8.20519206
298,0.880490294
299,-0.124983791
300,-4.061074994
301,2.278304781
302,1.692155859
303,5.604246307
304,-5.870340604
305,2.312462966
306,-9.726745337
307,-2.918952003
308,12.49468999
309,-0.896775013
310,-12.13574473
311,13.20614306
312,-6.899809125
313,-3.794993498
314,-3.768186703
315,-2.294822785
316,11.6770481
317,-2.143797751
318,-6.630560254
319,-8.06305076
320,17.55627592
321,1.999855467
322,-3.806999407
323,-2.760883472
324,0.097636342
325,-0.069454623
326,-0.504884628
327,2.355188418
328,-1.1419899
329,-0.339599803
330,-0.649183394
331,-2.198071085
332,-9.45661003
333,16.84836799
334,-1.993085791
335,3.030427806
336,2.286247133
337,1.381730733
338,1.761886107
339,-0.572534601
340,7.28150716
341,7.71992587
342,-5.947348006
343,5.09463005
344,8.752225015
345,-7.22971455
346,7.654709212
347,-8.612915965
348,21.8739775
349,2.839556937
350,1.198364277
351,-4.087738869
352,7.9300541
353,3.594983071
354,-1.226994504
355,-4.361324015
356,0.350853068
357,0.094691769
358,0.632557451
359,-1.844099758
360,5.205527567
361,-4.115338934
362,6.011638167
363,-0.949709102
364,-2.943745379
365,5.681186022
366,0
