$Tulloch Br1 inflow Tw year 2005 YC 04/11/2023,
",,,",
Jday,Inflow Tw
1,7.68
1.041666667,7.53
1.083333333,7.68
1.125,7.37
1.166666667,7.53
1.208333333,7.53
1.25,7.37
1.291666667,7.68
1.333333333,7.68
1.375,7.22
1.416666667,7.37
1.458333333,8.15
1.5,10.01
1.541666667,10.95
1.583333333,10.01
1.625,10.01
1.666666667,8.77
1.708333333,10.95
1.75,9.08
1.791666667,7.99
1.833333333,7.06
1.875,7.22
1.916666667,7.37
1.958333333,7.53
2,7.37
2.041666667,7.53
2.083333333,7.53
2.125,7.53
2.166666667,7.53
2.208333333,7.37
2.25,7.37
2.291666667,7.37
2.333333333,6.75
2.375,6.59
2.416666667,7.84
2.458333333,9.39
2.5,10.79
2.541666667,10.79
2.583333333,10.01
2.625,10.17
2.666666667,8.61
2.708333333,9.08
2.75,8.46
2.791666667,8.31
2.833333333,8.15
2.875,7.99
2.916666667,8.31
2.958333333,8.15
3,7.84
3.041666667,7.68
3.083333333,7.84
3.125,7.84
3.166666667,7.53
3.208333333,7.53
3.25,7.06
3.291666667,7.22
3.333333333,6.44
3.375,6.13
3.416666667,6.59
3.458333333,7.53
3.5,6.91
3.541666667,7.53
3.583333333,7.68
3.625,8.15
3.666666667,8.61
3.708333333,7.99
3.75,7.53
3.791666667,7.53
3.833333333,7.53
3.875,7.37
3.916666667,7.22
3.958333333,6.91
4,6.13
4.041666667,6.44
4.083333333,5.97
4.125,5.34
4.166666667,5.5
4.208333333,5.34
4.25,5.19
4.291666667,5.34
4.333333333,5.19
4.375,5.34
4.416666667,5.97
4.458333333,6.75
4.5,8.46
4.541666667,7.99
4.583333333,8.31
4.625,7.99
4.666666667,7.84
4.708333333,7.84
4.75,7.53
4.791666667,7.22
4.833333333,6.91
4.875,5.97
4.916666667,5.81
4.958333333,4.72
5,4.87
5.041666667,4.56
5.083333333,4.09
5.125,3.93
5.166666667,3.62
5.208333333,3.14
5.25,2.51
5.291666667,2.67
