$used Ripon Tw  for Tulloch qdt Tw year 2006  YC 04/10/2023,
",,,",
Jday,Inflow Tw
1,11.05555556
1.041666667,11.05555556
1.083333333,10.88888889
1.125,10.88888889
1.166666667,10.83333333
1.208333333,10.83333333
1.25,10.77777778
1.291666667,10.72222222
1.333333333,10.66666667
1.375,10.66666667
1.416666667,10.66666667
1.458333333,10.72222222
1.5,10.77777778
1.541666667,10.83333333
1.583333333,11
1.625,11
1.666666667,11.05555556
1.708333333,11
1.75,11
1.791666667,10.83333333
1.833333333,10.83333333
1.875,10.77777778
1.916666667,10.72222222
1.958333333,10.77777778
2,10.72222222
2.041666667,10.83333333
2.083333333,10.72222222
2.125,10.66666667
2.166666667,10.77777778
2.208333333,10.66666667
2.25,10.66666667
2.291666667,10.55555556
2.333333333,10.5
2.375,10.61111111
2.416666667,10.55555556
2.458333333,10.61111111
2.5,10.72222222
2.541666667,10.72222222
2.583333333,10.77777778
2.625,10.83333333
2.666666667,10.88888889
2.708333333,10.83333333
2.75,10.94444444
2.791666667,10.94444444
2.833333333,10.94444444
2.875,10.88888889
2.916666667,10.88888889
2.958333333,10.83333333
3,10.77777778
3.041666667,10.77777778
3.083333333,10.77777778
3.125,10.72222222
3.166666667,10.66666667
3.208333333,10.61111111
3.25,10.72222222
3.291666667,10.61111111
3.333333333,10.61111111
3.375,10.66666667
3.416666667,10.72222222
3.458333333,10.83333333
3.5,10.88888889
3.541666667,11
3.583333333,11
3.625,11
3.666666667,11.05555556
3.708333333,11.05555556
3.75,11
3.791666667,10.94444444
3.833333333,10.83333333
3.875,10.72222222
3.916666667,10.66666667
3.958333333,10.61111111
4,10.55555556
4.041666667,10.5
4.083333333,10.55555556
4.125,10.44444444
4.166666667,10.44444444
4.208333333,10.38888889
4.25,10.38888889
4.291666667,10.33333333
4.333333333,10.27777778
4.375,10.27777778
4.416666667,10.38888889
4.458333333,10.44444444
4.5,10.44444444
4.541666667,10.5
4.583333333,10.5
4.625,10.61111111
4.666666667,10.55555556
