$Tulloch Bathy ES 02/17/23 stepped bottom test ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,
DLX,0,61.4547,82.1781,107.8071,82.1784,90.6741,84.9657,93.9222,93.9225,101.449,99.9135,78.2063,104.8142,84.9679,118.9493,99.1299,112.9851,133.5076,146.7099,167.1642,220.6432,184.3704,257.7452,292.0289,216.1178,386.484,255.9982,198.2763,164.4038,158.6816,179.8128,225.333,148.5433,173.7421,193.3504,263.603,241.5076,172.2285,245.6502,300.8946,256.7379,249.8658,209.6726,150.4977,188.9266,201.5869,295.9013,297.3256,326.2544,325.4533,400,350,265.926,325,275,250,250,250,200,300,275,250,299.5053,0,0,100.3284,90.7454,94.0276,90.6925,87.9315,77.8305,93.9258,99.0964,88.809,70.8097,97.3637,82.1971,103.4406,61.456,110.9154,99.9102,153.1608,127.54,133.0997,183.0626,179.2273,139.0696,136.7526,140.9311,150.8656,216.2255,146.7521,146.7525,214.1383,178.7928,212.4501,195.5367,200.3968,127.0805,133.0301,228.7054,151.8514,348.1935,0,0,118.3438,90.7887,95.5297,109.1681,125.0139,99.1554,96.9059,99.2941,96.7798,137.9631,122.2137,99.1535,110.9423,158.5959,127.0832,207.8239,0,
ELWS,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,148.86,
PHI0,0.417,0.417,1.2707,1.3369,1.2707,1.2969,0.6433,0.5699,0.5699,0.1478,6.2567,6.1441,0.7092,0.6434,0.7014,0.6434,0.4594,0.0395,6.076,5.8797,5.7122,5.8131,0.1105,0.6199,0.5797,0.4461,1.4576,2.4453,1.818,1.4745,0.9554,0.5518,0.2128,0.5643,0.933,1.2891,1.1181,0.232,6.1494,0.0617,0.2873,0.1867,0.7098,0.5981,0.0205,0.7468,0.5038,0.9503,1.6129,2.1221,1.5449,1.3265,0.2313,0.5615,1.0955,1.5954,0.4253,5.8464,5.9004,0.5042,0.623,0.6981,0.8172,0.8172,5.5333,5.5333,5.1981,4.3247,3.8619,4.6867,5.1289,5.661,5.7978,6.2575,5.5876,4.5724,4.9602,5.3863,5.8138,0.7688,6.2575,4.9058,4.9508,5.5357,0.531,0.8771,0.7435,5.7905,5.7347,0.27,0.4842,5.8245,5.8245,5.2935,5.626,5.5874,5.5168,5.0848,5.9768,5.8494,4.6865,5.4046,6.1103,6.1103,2.1112,2.1112,2.0557,2.7381,2.7006,2.3347,2.4453,2.3025,1.7702,1.5447,2.244,2.5018,2.4453,2.3207,2.2262,2.8349,2.3559,2.3559,
FRIC,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,63.18,42.27,37.82,71.95,60.7,31.49,41.12,46.95,65.93,63.87,62.43,46.91,70.09,95.17,94.25,100.17,100.15,103.78,98,94.9,97.4,103.94,170.15,139.49,117.07,200.13,116.07,97.15,103.37,92.51,194.47,139.7,82.87,53.14,69.74,96.18,144.3,104,123.7,94.41,112.85,112.86,125.08,156.52,158.43,400.17,346.78,328.86,271.1,325.04,300.37,243.78,328.37,335.91,324.19,350.19,233.07,269.47,350.46,487.85,468.04,425.72,0,0,67.71,76.6,77.02,93.02,107.48,81.05,106.84,108.23,73.21,71.68,93.09,130.16,140.09,150.19,142.73,140.02,111.81,150.16,174.28,176.58,400.13,169.53,166.16,154.18,113.38,157.85,198.73,117.46,117.55,145.96,125.18,160.19,180.14,239.87,200.12,180.75,250.18,300.18,0,0,141.44,144.1,163.49,168.24,155.24,111.09,149.15,184.61,200.17,225.18,171.04,249.12,223.73,191.91,306.71,328.42,0,2
1,0,63.18,42.27,37.82,71.95,60.7,31.49,41.12,46.95,65.93,63.87,62.43,46.91,70.09,95.17,94.25,100.17,100.15,103.78,98,94.9,97.4,103.94,170.15,139.49,117.07,200.13,116.07,97.15,103.37,92.51,194.47,139.7,82.87,53.14,69.74,96.18,144.3,104,123.7,94.41,112.85,112.86,125.08,156.52,158.43,400.17,346.78,328.86,271.1,325.04,300.37,243.78,328.37,335.91,324.19,350.19,233.07,269.47,350.46,487.85,468.04,425.72,0,0,67.71,76.6,77.02,93.02,107.48,81.05,106.84,108.23,73.21,71.68,93.09,130.16,140.09,150.19,142.73,140.02,111.81,150.16,174.28,176.58,400.13,169.53,166.16,154.18,113.38,157.85,198.73,117.46,117.55,145.96,125.18,160.19,180.14,239.87,200.12,180.75,250.18,300.18,0,0,141.44,144.1,163.49,168.24,155.24,111.09,149.15,184.61,200.17,225.18,171.04,249.12,223.73,191.91,306.71,328.42,0,3
1,0,63.18,42.27,37.82,71.95,60.7,31.49,41.12,46.95,65.93,63.87,62.43,46.91,70.09,95.04,82.17,100.1,99.5,103.78,98,88.27,97.4,98.52,169.76,139.49,117.07,200.13,116.07,97.15,103.37,86.61,194.47,139.7,82.87,53.14,69.74,92.82,144.3,104,123.7,88.11,112.85,112.86,125.08,156.52,156.21,400.12,342.77,325.89,264.18,321.78,300.37,240.93,328.37,335.91,324.19,350.17,225.25,259.57,336.9,483.78,466.13,425.72,0,0,64.75,73,77.02,86.27,90.45,81.05,106.84,97.58,64.4,71.68,85.64,130.01,140.09,150.17,128.97,136.5,111.81,149.3,165.28,169.65,400.13,169.53,161.83,147.55,98.01,151.15,198.73,117.46,117.55,145.96,125.14,160.17,178.91,239.87,200.12,180.75,250.13,300.14,0,0,141.44,144.1,163.49,160.65,155.24,111.09,149.15,181.67,200.12,225.15,171.04,237.35,212.86,191.91,306.71,325.8,0,4
1,0,0,0,0,0,0,0,41.12,38.4,57.44,57.74,52.75,38.22,68.09,90.65,67.93,99.27,90.31,94.82,91.19,83.01,89.45,91.31,165.02,128.76,109.27,200.09,107.51,88.54,94.33,79.74,185.23,132.43,80.76,47.43,67.65,88.92,134.62,98.1,117.6,77.57,112.43,109.51,124.06,153.05,153.45,398.14,332.28,320.14,254.16,318.44,295.5,234.87,321.66,328.91,315.4,350.16,216.12,246.36,318.55,475.06,463.23,413.6,0,0,56.42,54.48,65.64,72.66,69.79,67.78,101.15,82.6,52.48,58.4,71.09,123.34,140.02,150.15,115.23,106.61,105.25,140.61,149.33,144.06,400.08,161.15,155.01,138.09,79.48,141.71,191.83,108.56,113.1,140.07,124.63,160.15,168.77,234.28,197.33,176.21,248.78,300.1,0,0,133.8,132.21,154.48,145.29,146.71,102.97,142.7,170.15,199.76,225.12,159.41,230.12,192.18,184.66,289.82,320.7,0,5
1,0,0,0,0,0,0,0,0,0,57.44,57.74,52.75,38.22,68.09,78.43,46.79,80.21,58.95,78.85,81.3,75.59,76.56,82.32,144.66,114.08,101.1,156.09,98.93,77.75,84.95,73.14,169.31,126.17,79.16,45.4,66.07,86.28,107.35,88,110.05,65.28,110.06,106.51,121.45,148.21,150.4,391.42,303.44,313.99,244.75,316.48,290.08,228.07,316.51,316.07,298.34,350.14,208.25,221.53,279.16,466.34,459.6,387.68,0,0,30.23,24.9,36.64,28.46,38.88,43.89,83.09,60.27,34.19,45.93,44.68,70.69,106.01,150.13,94.04,70.45,84.66,125.48,95.24,80.61,375.78,151.93,148.21,124.87,65.94,128.96,184.7,102.18,108.48,130.92,122.99,160.13,152.9,229.35,161.29,160.09,195.24,299.2,0,0,113.52,102.99,139.14,120.57,131.05,85.2,130.66,151.64,190.72,225.02,140.33,221.18,165.69,175.25,271.1,316.28,0,6
1,0,0,0,0,0,0,0,0,0,0,57.74,52.75,38.22,68.09,68.92,42.82,59.54,56.35,73,74.38,73.11,73.32,78.57,141.77,105.15,97.7,144.79,95.05,73.5,82.48,70.63,165.34,124.38,78.15,44.38,64.59,85.48,98.66,84.98,107.69,62.32,108.99,105.19,118.71,146.77,148.75,389.87,301.95,312.1,241.67,314.71,288.08,226.88,315.02,313.84,292.74,350.12,204.95,219.2,275.77,464.38,458.65,384.09,0,0,5.2,20.56,22.97,25.62,36.25,35.15,75.59,57.2,32.36,40.92,42.42,67.62,90.25,150.1,92.21,61.29,70.92,119.7,92.65,77.97,372.99,147.95,145.71,114.94,63.17,126.62,182.41,100.03,105.32,127.75,121.3,160.11,147.05,227.51,154.94,157.34,193.46,296.78,0,0,106.87,92.09,129.87,118.11,126.98,79.49,123.19,148.03,188.48,224.37,130.59,217.74,162.33,172.22,264.13,315.32,0,7
