elev_true,sed_temp,water_temp
1012.7,10.556,10.556
1008.8,10.444,10.444
1003.9,10.333,10.333
1000.9,10.389,10.389
998.0,10.5,10.5
994.6,10.426,10.426
986.8,10.278,10.278
981.6,10.389,10.389
975.3,10.278,10.278
974.0,10.389,10.389
970.7,10.389,10.389
967.95,10.305499999999999,10.305499999999999
963.2,10.167,10.167
957.9,9.444,9.444
955.1200000000001,10.166599999999999,10.166599999999999
952.6,8.629666666666667,8.629666666666667
948.75,8.361,8.361
945.95,8.8335,8.8335
944.2,6.833,6.833
941.5,6.056,6.056
936.0,10.333,10.333
933.3,5.556,5.556
929.05,5.444,5.444
919.6,10.389,10.389
915.6,10.333,10.333
912.0,10.333,10.333
910.4,10.389,10.389
907.4,10.333,10.333
891.3,10.111,10.111
890.2,10.2225,10.2225
885.8,9.833,9.833
883.8,10.0,10.0
879.7,10.278,10.278
873.65,9.972000000000001,9.972000000000001
871.6333333333333,9.907333333333334,9.907333333333334
868.0,9.944,9.944
865.0999999999999,9.7225,9.7225
862.0,9.194,9.194
858.8499999999999,9.556,9.556
856.4333333333334,9.166666666666666,9.166666666666666
853.4666666666667,9.425666666666666,9.425666666666666
851.15,9.3055,9.3055
847.1666666666666,8.407333333333334,8.407333333333334
841.65,9.111,9.111
835.4000000000001,9.111,9.111
828.7,9.111,9.111
825.7,7.556,7.556
824.1,9.0,9.0
815.9,8.833,8.833
813.6,8.889,8.889
812.3,8.944,8.944
808.7,8.889,8.889
804.4,7.444,7.444
803.4,7.444,7.444
790.3,8.833,8.833
777.8,8.778,8.778
769.6,8.722,8.722
763.7,8.611,8.611
745.15,8.5,8.5
734.8,8.778,8.778
730.6,8.222,8.222
719.7,8.222,8.222
705.0,8.722,8.722
703.3,8.222,8.222
691.9,8.5,8.5
662.0,8.5,8.5
659.4,8.667,8.667
613.1,8.667,8.667
564.9,8.667,8.667
547.2,8.667,8.667
